Keyword,Frequency
닭갈비,74
농원,65
식당,63
카페,61
청평,59
펜션,58
헤어,55
커피,44
막국수,33
학원,32
설악,32
평점,32
의원,31
상회,29
칼국수,28
숯불,26
약국,26
해장국,24
빌라,23
갈비,23
미용실,23
마을,23
주유소,21
우리,21
치킨,21
사랑,18
키즈,17
밥상,17
치과,17
피자,16
농업,16
회사법,16
철물,16
자동차,15
슈퍼,15
교습,14
이야기,14
그린,14
대국,14
매점,14
연습장,14
정육점,14
영농,14
캠핑장,14
대성,13
방앗간,13
협동조합,13
춘천,13
남이섬,13
김밥,13
한의원,13
시골,13
노래,12
짬뽕,12
마루,11
아카데미,11
유명,11
건재,11
구장,11
음악학,11
골프,10
장어,10
조합,10
돈까스,10
조종,10
호명,10
통닭,10
에스,9
족발,9
쌈밥,9
양평,9
푸드,9
구이,9
분식,9
고기,9
농산물,9
전문점,9
제이,9
공구,9
농장,9
건강,9
목동,9
농약,9
리점,9
푸른,9
공업,8
국수,8
곰탕,8
떡볶이,8
고을,8
머리,8
드림,8
유명산,8
인테리어,8
캠프,8
아트,8
뷰티,8
국밥,8
판매,8
수학,8
감자탕,8
스크린골프,8
농산,8
자연,8
평화,8
나무,8
마리,8
장터,8
지사,8
하늘,8
에덴,8
금강,8
부대찌개,8
스튜디오,8
아침,8
중앙,8
보쌈,8
축산,8
추어탕,7
강변,7
아이,7
모텔,7
가스,7
가구,7
곱창,7
고향,7
수상,7
레저,7
한우,7
네일,7
수산,7
두부,7
할인,7
스포츠,7
에프,7
성리,7
바디,7
마임,7
스타,7
꼬치,7
풍경,7
할머니,6
형제,6
횟집,6
만두,6
스마일,6
국제,6
스테이,6
낚시,6
리버,6
식품,6
정원,6
수제,6
해물,6
산골,6
연인산,6
가평군,6
감성,6
피아노,6
옛날,6
셀프,6
세차장,6
소리,6
세탁소,6
향기,6
돼지,6
플러스,6
올리브,6
농부,6
번지,6
맛집,6
편의점,6
오늘,6
스파,6
시장,6
닭발,6
다방,6
프로,6
모터,5
글램핑,5
킹덤,5
군청,5
뮤직,5
동물병원,5
염소,5
스시,5
명품,5
카나,5
애견,5
로우,5
매운탕,5
안경,5
베이커리,5
