Keyword,Frequency
과천,139
교습,88
학원,49
의원,44
헤어,40
커피,36
약국,33
수학,32
카페,31
미술,26
필라테스,26
영어,26
치과,18
한의원,17
스튜디오,17
음악,17
피아노,15
식당,13
김밥,13
아트,12
중앙,12
우리,12
미용실,12
네일,11
음악학,11
수학학원,11
영어학원,10
태권도,9
플라워,9
케이,9
안경,9
살롱,8
한우,8
뷰티,8
논술,8
슈르,8
점핑,8
공인,8
중개사,8
사무소,8
연구소,7
내과,7
정육점,7
농원,7
그린,7
세탁소,7
동물병원,7
아이,7
국어,7
에이,7
데이,7
심리상담,6
피부,6
제이,6
이비인후과,6
토피아,6
바디,6
피자,6
리드,6
온누리,6
스터디,6
에스,6
매머드,6
익스,6
프레,6
지씨,6
건강,6
순대,6
사랑,6
이화,6
에듀,6
스포츠,6
문구,5
에스테,5
해피,5
컴퍼니,5
청소년,5
마을,5
골프,5
갈현,5
오늘,5
교육,5
찹쌀,5
바이,5
체육관,5
컴퓨터,5
까페,5
치킨,5
도시락,5
부대찌개,5
생각,4
협동조합,4
아이스크림,4
푸드,4
지식,4
봉평,4
메밀막국수,4
마당,4
과일,4
축산,4
감자탕,4
경희대,4
경희,4
소아,4
짬뽕,4
나무,4
독서,4
옛날,4
갤러리,4
양평,4
베이커리,4
윤선생,4
플러스,4
상상,4
오토,4
아이스,4
스토리,4
청사,4
피트니스,4
대국,4
다이어트,4
세탁,4
비비,4
방앗간,4
국밥,4
스킨,4
사람,3
푸른,3
마음,3
상담,3
코인,3
센트럴,3
그라츠,3
뮤직,3
마리,3
미소,3
모터,3
요가,3
곳간,3
자매,3
에프,3
떡볶이,3
참숯,3
호프,3
고릴라,3
면옥,3
통닭,3
행복,3
영농,3
해장국,3
명품,3
구장,3
지정,3
노래,3
연습장,3
사고력,3
스쿨,3
샤인,3
블루,3
얌샘,3
족발,3
미미,3
베이글,3
어스,3
페이지,3
이레,3
오렌지,3
아카데미,3
슈퍼,3
더블,3
낙지,3
코코,3
리틀,3
라운지,3
서점,3
스카이,3
라인,3
우동,3
스마트,3
안과,3
테크,3
스타일,3
미스,3
철물,3
토리,3
나루,3
인테리어,3
메이트,3
정형외과,3
버블,3
갈비,3
집앞,3
마루,3
뷔페,3
파워,3
남태령,3
스퀘어,3
대치,3
로뎀,2
지우개,2
곱창,2
원점,2
앤디,2
청산,2
보습,2
패션,2
수작,2
스시,2
그림,2
글로리,2
라비,2
둘리,2
리밍,2
컬러,2
찜닭,2
허그,2
헤어아트,2
아이스박스,2
할인점,2
아동,2
아이템,2
양념치킨,2
선생,2
캠퍼스,2
분식,2
이드,2
하이,2
한가람,2
잉글리쉬,2
발달,2
