Keyword,Frequency
광명,609
헤어,274
학원,248
교습,201
의원,151
카페,133
수학,110
철산,100
약국,98
하안,95
소하,94
커피,87
영어,82
한의원,80
네일,75
미술,71
치과,67
아모레,65
식당,65
음악학,64
치킨,64
상회,58
필라테스,57
수학학원,57
우리,56
뷰티,56
김밥,52
태권도,50
영어학원,46
연습장,45
갈비,43
논술,42
피아노,42
미용실,41
축산,41
노래,40
아이,39
헤어샵,36
아트,35
스터디,35
스튜디오,34
마을,34
제이,32
플라워,32
피자,31
에스,31
한우,31
사랑,31
케이,30
역점,30
아카데미,29
포차,29
숯불,28
구장,28
살롱,28
곱창,28
족발,28
케어,28
플러스,27
독서,27
정육점,27
안경,26
골프,25
농원,25
칼국수,25
사거리,25
자동차,24
중앙,24
대국,23
건강,22
통닭,22
음악,22
고기,22
수산,21
떡볶이,21
돼지,21
스킨,21
에스테,21
에이,20
마루,20
머리,20
푸드,20
아이스,20
드림,20
아이스크림,19
야채,19
지씨,19
옛날,19
요가,19
과일,19
경희,19
비어,18
꼬치,18
그린,18
세탁,18
가게,18
분식,18
방앗간,18
댄스,18
스포츠,18
슈퍼,17
연구소,17
위드,17
잉글리쉬,17
내과,17
국어,17
해법,16
부대찌개,16
스타,16
오늘,16
교육,16
의료,16
에듀,16
바디,16
에이치,16
대박,15
심리상담,15
실용음악,15
하이,15
점핑,15
할인,15
건어물,15
라인,15
나무,15
호프,15
플레이,15
추어탕,14
교실,14
세탁소,14
공업,14
떡집,14
냉면,14
대성,14
돈까스,14
가구,14
마리,14
잉글리시,14
스마트,14
광명역,14
구이,13
구름산,13
리드,13
일직,13
경희대,13
전문점,13
밥상,13
에이스,13
고향,13
푸른,13
이비인후과,13
보청기,13
컴퓨터,13
하나,13
피부,13
철물,12
해장국,12
짬뽕,12
유니,12
청과,12
순대,12
감자탕,12
가온,12
뮤직,12
힐링,12
미소,12
인테리어,12
데이,12
국밥,12
보쌈,12
스크린골프,12
농산,12
반찬,12
