Keyword,Frequency
헤어,345
학원,324
의원,177
카페,172
교습,144
커피,141
약국,118
식당,106
미술,91
곤지암,90
치킨,89
영어,88
수학,81
농장,81
네일,79
치과,70
골프,69
오포,66
뷰티,66
푸드,64
한의원,64
퇴촌,63
태권도,63
김밥,63
연습장,62
우리,60
살롱,60
경안,57
피자,56
모터,55
음악학,55
초월,54
노래,52
자동차,51
마을,50
대국,50
갈비,50
해장국,50
사랑,49
아이,48
제이,48
미용실,48
아트,47
플러스,47
포차,46
칼국수,45
통닭,44
에스,44
헤어샵,44
족발,41
필라테스,41
케이,39
곱창,38
피아노,38
스터디,37
돼지,37
스튜디오,37
떡볶이,37
상회,37
구장,36
그린,36
스크린골프,35
수학학원,34
드림,34
오늘,34
토피아,34
음악,34
지씨,33
한식,33
고기,32
아이스크림,32
감자탕,32
숯불,31
송정,31
기광,31
공업,31
구이,30
한우,30
건강,30
축산,30
아카데미,30
수산,30
타이어,29
영어학원,29
에이치,29
스토리,28
정육점,28
중앙,28
호프,28
에이,28
철물,27
머리,27
부대찌개,27
명품,27
공구,27
짬뽕,27
세탁소,27
분식,27
방앗간,26
안경,26
삼겹살,26
논술,26
주점,26
플라워,25
교실,25
오리,24
아모레,24
독서,24
산성,24
가구,24
돈까스,24
마리,24
동물병원,24
행복,24
미래,23
에듀,23
국수,23
국밥,23
반찬,23
보습,23
하나,23
세탁,22
스타,22
내과,21
장어,21
문구,21
스포츠,21
마루,21
태전,21
추어탕,21
두부,20
푸른,20
시골,20
보쌈,20
밥상,20
슈퍼,20
정육,20
스시,20
스킨,20
농원,20
라인,19
카운셀러,19
막국수,19
토마토,19
양평,19
통신,19
꼬치,19
교육,18
힐링,18
옛날,18
꽈배기,18
닭발,18
전문점,18
냉면,18
나무,18
맛집,18
당구,17
또봉,17
피부,17
키즈,17
코다리,17
뷔페,17
테크,17
스마트,17
가마솥,17
스크린,17
바다,17
청소년,17
소아,17
대성,17
고산,17
부방,16
대박,16
생각,16
농업,16
컴퍼니,16
경희,16
소비,16
할머니,16
맥주,16
쭈꾸미,16
전주,16
만두,16
전기,15
찹쌀,15
라라,15
에스테,15
할인,15
갤러리,15
닭갈비,15
화장품,15
케어,15
스마일,15
컴퓨터,15
에프,15
부페,15
바이,14
가게,14
뚜껑,14
토종,14
순대,14
역전,14
남한,14
이화,14
국어,14
누리,14
광주시,14
토스트,14
반점,14
블루,14
스쿨,14
전통,14
