Keyword,Frequency
구리,344
헤어,224
학원,185
교습,142
의원,134
갈매,104
카페,99
커피,82
수학,67
식당,65
한의원,64
치과,64
미용실,64
네일,62
약국,60
미술,60
뷰티,59
치킨,57
영어,51
스터디,45
곱창,45
수산,42
우리,42
영어학원,38
헤어샵,37
아모레,37
연습장,36
음악학,35
수학학원,34
피아노,33
아트,32
필라테스,31
노래,31
김밥,31
포차,30
아이,30
사랑,29
골프,29
태권도,28
호프,28
살롱,28
교문,27
에스,26
안경,26
제이,26
스튜디오,26
아이스크림,24
케어,23
상회,23
오늘,23
피자,23
그린,22
사무소,22
푸드,22
토평,22
통닭,21
떡볶이,21
정육점,21
플라워,21
구장,21
케이,21
아카데미,20
에이,20
슈퍼,20
고기,20
인창,20
창점,19
족발,19
교육,19
칼국수,18
스킨,18
구이,18
음악,17
갈비,17
대국,17
플러스,17
에스테,17
전기,17
지사,17
식품,16
숯불,16
철물,16
냉면,16
청소년,16
삼겹살,16
스포츠,15
연구소,15
자동차,15
축산,15
바디,15
스타,15
반찬,15
인테리어,15
동물병원,15
건강,14
공업,14
마을,14
맥주,14
참치,14
돌다리,14
옛날,14
지씨,14
모터,13
미소,13
라인,13
피부,13
뮤직,13
협동조합,13
뚜껑,13
짬뽕,13
마루,13
컴퓨터,12
보쌈,12
꼬치,12
외판,12
드림,12
카운셀러,12
행복,12
독서,12
논술,12
관리,12
남양,12
푸른,11
육회,11
분식,11
스토리,11
머리,11
토피아,11
중앙,11
평점,11
노래방,11
휘트니,11
감자탕,11
나무,11
조명,11
이비인후과,11
교실,11
인생,11
경희,11
통신,11
마리,11
당구,10
공인,10
중개사,10
매점,10
내과,10
뜰리,10
소아,10
국어,10
닭발,10
쭈꾸미,10
마이,10
의학과,10
에이치,10
미용,10
국수,10
샤인,10
세탁,10
국어학,10
잉글리쉬,10
잉글리시,10
스카이,10
발달,10
하이,10
연세,10
세탁소,10
우동,9
달달,9
바이크,9
키즈,9
감성,9
삼보,9
패션,9
심리상담,9
부방,9
가게,9
테라,9
프로,9
