Keyword,Frequency
헤어,254
학원,222
산본,201
군포,201
교습,179
카페,153
의원,137
커피,120
수학,88
약국,85
치과,77
아모레,77
카운셀러,77
영어,73
미술,71
한의원,69
식당,67
치킨,62
네일,61
연습장,56
노래,55
음악학,55
금정,54
김밥,48
미용실,47
태권도,46
피아노,46
수학학원,43
헤어샵,41
살롱,39
포차,37
대국,37
에스,37
우리,36
골프,36
영어학원,36
아이스크림,35
뷰티,35
꼬치,32
필라테스,31
푸드,30
음악,30
스터디,29
동점,29
제이,29
스튜디오,28
칼국수,28
데이,27
중앙,27
사랑,26
세탁소,26
아이,26
족발,26
숯불,25
플러스,25
보습,25
아트,25
철물,25
피자,24
고기,24
마을,24
드림,23
자동차,23
인테리어,23
수산,23
호프,23
구장,23
에스테,23
부곡,22
곱창,22
아카데미,22
슈퍼,22
머리,22
안경,22
정육점,22
점핑,21
분식,20
산본역,20
세탁,20
갈비,20
그린,20
케이,20
모텔,19
에이치,19
내과,19
에이,19
정점,19
연구소,19
야채,19
오늘,19
돼지,18
스토리,18
통닭,18
피부,18
에듀,18
떡집,18
역점,18
밥상,18
스포츠,17
토피아,17
축산,17
스타,17
미소,17
공업,17
문구,16
요가,16
반찬,16
논술,16
할인점,16
스크린골프,16
플라워,16
송정,16
용인대,15
식품,15
케어,15
아이스,14
라인,14
지씨,14
국수,14
떡볶이,14
프로,14
통신,14
스킨,14
뮤직,14
건강,14
할인,14
교육,14
보쌈,14
닭발,14
시골,14
바디,13
감성,13
다이어트,13
한식,13
과일,13
참치,13
체육관,13
스마트,13
상회,13
경희,13
독서실,12
모터,12
명품,12
하나,12
짬뽕,12
부대찌개,12
청과,12
맛집,12
금강,12
돈까스,12
해장국,12
발달,12
옛날,12
가구,12
컴퓨터,12
심리상담,12
대야,12
크리,11
에이스,11
잉글리시,11
복싱,11
프레,11
비어,11
한우,11
컴퍼니,11
잉글리쉬,11
당구,11
푸른,11
하늘,11
청소년,11
마리,11
피부관리,11
추어탕,11
사무소,11
육회,11
키즈,10
찌개,10
타임,10
동물병원,10
국어,10
바베큐,10
스쿨,10
해법,10
장수,10
마음,10
탁구,10
공간,10
트리,10
라라,10
미래,10
꼬마,10
군포시,10
스카이,10
힐링,10
생각,10
국어학,10
감자탕,10
닭강정,9
댄스,9
선생,9
경희대,9
대박,9
속눈썹,9
세차장,9
하이,9
스파,9
삼겹살,9
화장품,9
교실,9
김밥천국,9
장어,9
행복,9
조이,9
코다리,9
위드,9
나무,9
온누리,9
아동,9
피자스쿨,9
수리산,9
수리,9
에프,9
반점,9
명가,9
이비인후과,9
전문점,9
바다,9
우동,9
퍼스트,9
방앗간,9
요양원,8
왁싱,8
플레이,8
타이어,8
코코,8
쌈밥,8
오토,8
아구찜,8
연세,8
냉면,8
키친,8
소리,8
이화,8
설비,8
도깨비,8
열쇠,8
고향,8
호텔,8
낙지,8
스타일,8
첨단,8
굿모닝,8
케이크,8
두부,8
베이커리,8
로스,8
미용,8
소담,8
스시,8
낙원,8
휘트니,7
지니,7
부페,7
셀프,7
삼겹,7
코인,7
김치찌개,7
비빔밥,7
황금,7
건어물,7
멸치,7
화이트,7
한솔,7
오름,7
세상,7
보청기,7
외과의,7
팩토리,7
뮤엠,7
소아과,7
엄마,7
상담,7
정비,7
칼라,7
주막,7
대성,7
전기,7
닥터,7
강산,7
싱싱,7
이스,7
농원,7
미스,7
바이,7
줄넘기,7
갤러리,7
술집,7
부자,7
학교,7
의류,7
이야기,7
