Keyword,Frequency
김포,744
학원,532
헤어,432
교습,287
사무소,280
중개사,254
카페,253
수학,253
공인,249
영어,229
커피,207
네일,178
어린이집,154
의원,153
미술,147
음악학,135
수학학원,122
치킨,114
구래,111
뷰티,109
약국,109
식당,104
피아노,104
아이,103
우리,103
태권도,91
필라테스,90
스튜디오,87
한강,86
에스,86
한의원,86
김밥,85
영어학원,83
아트,82
아모레,80
논술,78
교실,78
독서,77
치과,75
살롱,75
카운셀러,74
제이,74
골프,69
스터디,64
갈비,62
피자,61
사랑,61
잉글리쉬,61
아카데미,60
부방,60
연습장,58
장기,57
노래,55
마을,54
곱창,54
케어,54
사우,53
족발,51
에이,50
플러스,49
오늘,48
케이,48
자동차,48
칼국수,47
모터,47
에듀,46
기점,45
해장국,44
드림,44
통닭,43
지씨,42
떡볶이,42
분식,42
슈퍼,41
통진,41
안경,41
사고력,41
에이치,41
나무,40
음악,40
키즈,40
무점,40
푸드,39
토론,39
대국,39
미용실,39
포차,38
그린,38
고기,37
교육,36
국밥,36
상회,36
타이어,35
국수,35
플레이,35
마리,33
부대찌개,33
에스테,33
감자탕,33
연구소,33
국어,33
한식,33
세탁,33
플라워,32
맥주,32
기탄,32
점핑,32
양곡,32
옛날,32
푸르지오,32
바디,31
스타,31
한우,31
토피아,31
푸른,30
소비,30
공업,30
헤어샵,29
가구,29
스포츠,29
축산,29
아이스크림,29
연세,29
돼지,28
스킨,28
캠퍼스,28
꽈배기,28
건강,28
컴퍼니,28
시립,28
농원,28
단지,27
힐링,27
리드,27
정육점,27
철물,26
하이,26
스시,26
데이,26
숯불,26
컴퓨터,26
복싱,26
요가,26
대박,26
부페,26
세탁소,26
공구,25
꼬치,25
인테리어,25
짬뽕,25
잉글리시,25
미소,25
라인,25
뮤직,25
마루,25
오리,24
인생,24
발달,24
에프,24
팩토리,24
블루,24
동물병원,24
과외,24
피부,23
마산,23
스토리,23
구이,23
돈까스,23
촌점,23
심리상담,23
버거,23
청소년,23
개인,23
수리,22
공간,22
이화,22
은여울,22
정육,22
과학,22
찌개,22
추어탕,22
이야기,21
문구,21
쭈꾸미,21
걸포,21
방앗간,21
육회,21
창고,21
닭발,20
명품,20
갤러리,20
순대,20
간식,20
닭강정,20
과일,20
프로,20
스마일,20
마음,20
스마트,20
머리,20
꼬마,20
전문점,20
세차장,20
하루,19
우동,19
만두,19
오토,19
지사,19
프라임,19
하나,19
우리동네,19
심리,19
베이커리,19
삼계탕,19
용인대,19
구장,19
농업,19
생각,19
프레,18
