Keyword,Frequency
동두천,138
헤어,92
식당,59
카페,58
학원,58
아모레,57
카운셀러,49
상회,47
미용실,36
커피,35
치킨,29
중앙,29
공업,26
약국,23
포차,23
의원,22
슈퍼,22
사랑,22
행점,22
네일,22
자동차,21
구장,18
소요산,18
수학,17
피자,17
족발,16
뷰티,16
시장,16
헤어샵,15
한의원,15
칼국수,15
교습,15
영어,14
갈비,14
대국,14
고기,14
치과,13
케이,13
마을,13
분식,13
우리,13
푸드,13
음악학,12
통닭,12
태권도,12
지행역,12
철물,12
이담,11
해장국,11
케어,11
살롱,11
머리,11
형제,11
부대찌개,11
숯불,11
구이,11
미술,11
프로,11
아이,10
피아노,10
곱창,10
안경원,10
식품,10
두부,10
스터디,10
그린,9
보습,9
호프,9
밥상,9
열쇠,9
연구소,9
염소,9
떡볶이,9
연습장,9
에스,8
대성,8
닭강정,8
옛날,8
설비,8
세아,8
삼겹살,8
외판,8
한우,8
타이어,8
플라워,8
극장,8
명품,8
가구,8
드림,8
돼지,8
교육,8
노래,8
스킨,8
건강,7
패션,7
협동조합,7
모텔,7
미소,7
에스테,7
냉면,7
교실,7
통신,7
문구,7
토피아,7
스튜디오,7
스타,7
김밥,7
라인,7
하루,7
수산,7
세탁소,7
요양원,7
건재,7
스포츠,7
명성,7
농원,7
유리,7
모터,7
마루,6
슈가,6
동원,6
중국,6
블루,6
야채,6
한식,6
우리동네,6
케이크,6
닭발,6
마리,6
지물,6
막국수,6
까페,6
수제,6
세차장,6
아이스크림,6
제이,6
문화,6
축산,6
에이치,6
원조,6
아카데미,6
밥집,6
요리,6
에이스,6
마차,6
아구찜,6
방앗간,6
반찬,6
꼬치,6
상패,6
세상,5
미용,5
힐링,5
에이,5
바베큐,5
기름,5
인테리어,5
해피,5
점핑,5
러브,5
만두,5
천생,5
서점,5
이야기,5
안경,5
해물,5
구제,5
아트,5
보산,5
텔레콤,5
당구,5
재료,5
필라테스,5
추어탕,5
타임,5
청과,5
떡집,5
레드,5
버거,5
돈까스,5
전기,5
컴퍼니,5
동물병원,5
동광,5
푸른,5
반점,5
장터,5
편의점,5
공간,5
청년,5
일품,5
스시,5
신흥,5
의류,5
코코,5
전문점,5
왕방,4
토탈,4
양평,4
한복,4
가위,4
프리,4
베이커리,4
부방,4
로스,4
동해,4
태양,4
삼계탕,4
황금,4
최강,4
도시락,4
스타일,4
이모,4
노가리,4
진미,4
오름,4
헤어아트,4
시대,4
체육관,4
영어학원,4
미식,4
직판,4
기아,4
우진,4
화장품,4
골프,4
동양,4
다방,4
민물장어,4
두리,4
정육,4
리테일,4
닭갈비,4
역점,4
노래방,4
의료,4
오리,4
국수,4
참치,4
정육점,4
동네,4
프레,4
짬뽕,4
에프,4
빈티,4
이불,4
캠프,4
할인,4
인생,4
유성,4
역전,4
어비스,4
마이,4
개인,4
금강산,4
국밥,4
장군,4
맥주,4
할머니,4
대패,4
하나,4
비어,4
빈대떡,4
애견,4
코너,4
순대,4
과외,4
감성,4
국제,4
오토,4
대명,4
지씨,3
신발,3
인쇄,3
쭈꾸미,3
두드림,3
연탄,3
청담,3
두레,3
그릇,3
가방,3
솔로몬,3
고려,3
수입,3
번지,3
데이,3
갤러리,3
리마,3
대흥,3
책방,3
피부관리,3
설빙,3
한잔,3
플러스,3
철도,3
바이크,3
휘트니,3
나라,3
클린,3
세탁,3
안흥,3
봉구,3
스토리,3
할인점,3
모바일,3
신천,3
화이트,3
낙원,3
메이드,3
피부,3
스크린,3
상담,3
위드,3
보리,3
예루살렘,3
작업실,3
스페이스,3
운동,3
가짐,3
이레,3
가게,3
동성,3
댄스,3
육회,3
세차,3
대신,3
테크,3
일미,3
라라,3
볼링장,3
부흥,3
카츠,3
횟집,3
아주,3
맛집,3
미성,3
럭키,3
비지,3
로또,3
천지,3
새마을,3
라운지,3
코인,3
놀러와,3
에어컨,3
퍼스트,3
보라,3
김치,3
무지개,3
독서실,3
토스트,3
요양보호사,3
과일,3
실내,3
으뜸,3
도니,3
파티,3
피티,3
셀프,3
낚시,3
실비,3
사회,3
컴퓨터,3
반딧불,3
엄마,3
샷시,3
사진관,3
회관,3
아리랑,3
보쌈,3
무한,3
초원,3
라이더,3
남성,3
보드,3
음악,3
동아,3
전설,3
매점,3
벨라,3
다빈치,3
라이,3
레스토랑,3
데코,3
