Keyword,Frequency
헤어,899
학원,864
부천,835
보습,511
카페,425
의원,409
교습,400
약국,382
커피,340
수학,303
영어,249
네일,213
아모레,210
치킨,210
식당,200
한의원,199
연습장,188
치과,181
노래,179
음악학,178
미용실,175
뷰티,175
미술,170
카운셀러,166
우리,165
김밥,147
동점,145
중동,139
상회,138
사랑,136
포차,134
상동,129
태권도,125
어린이집,124
스터디,123
마을,121
아이,115
플러스,112
필라테스,111
에스,110
스튜디오,110
살롱,109
헤어샵,109
자동차,108
숯불,108
슈퍼,108
피자,105
고기,104
제이,103
곱창,97
족발,97
축산,96
입시,95
호프,94
푸드,91
음악,91
세탁소,89
피아노,89
칼국수,87
꼬치,87
대국,85
아트,83
갈비,82
안경,82
구장,81
식품,80
사무소,80
야채,79
수산,77
건강,77
플라워,76
통닭,76
공업,75
역곡,71
케어,71
정육점,71
그린,69
아이스크림,68
분식,67
철물,67
케이,66
아카데미,65
지씨,64
떡볶이,64
전문점,62
에이,62
컴퓨터,62
방앗간,61
머리,60
골프,59
할인,58
청과,58
스타,58
역점,58
한우,57
과일,57
스킨,56
대성,55
에스테,55
드림,55
논술,54
대박,53
마루,53
옥길,53
맥주,52
인테리어,51
반찬,51
오늘,51
연구소,50
돼지,50
밥상,50
순대,49
동물병원,48
세탁,48
모터,48
옛날,48
감자탕,48
원종,47
토피아,46
스토리,46
문구,45
전기,45
통신,44
당구,43
구이,43
중앙,43
고향,43
돈까스,42
명품,42
국수,42
내과,42
비어,42
하이,41
스포츠,41
에이치,41
화장품,41
찌개,41
보쌈,41
데이,41
온누리,41
참치,41
바디,41
피부,40
에프,40
바베큐,40
추어탕,40
삼겹살,40
건어물,39
해장국,39
엄마,39
중국,39
오정,39
하루,39
교육,39
에듀,39
만두,39
심리상담,38
떡집,38
힐링,38
미소,38
닭발,38
라인,37
아이스,37
행복,37
시골,37
마리,37
경희,37
국밥,37
냉면,37
닭갈비,36
국어,36
푸른,35
나무,35
요가,35
오리,35
하나,35
미래,34
요양원,34
황금,34
정비,34
발달,34
키즈,34
소사,34
왁싱,34
닭강정,34
테크,33
바다,33
이비인후과,33
동네,33
설비,33
이야기,33
가구,33
독서,33
스마트,32
체육관,32
스시,31
테라,31
관리,31
한식,31
공간,31
뮤직,31
보청기,30
정육,30
장수,30
반점,30
잉글리쉬,30
교실,30
지사,30
스크린골프,30
마이,29
명동,29
조명,29
프레,29
갤러리,29
연세,29
우동,29
짬뽕,28
휘트니,28
과학,28
유리,28
블루,28
시장,28
카나,28
닥터,28
스마일,28
형제,28
패션,28
스쿨,27
명가,27
육회,27
모텔,27
미용,27
할머니,27
맛집,27
명성,27
컴퍼니,27
스카이,26
꼬마,26
장터,26
삼계탕,26
카츠,26
해피,26
케이크,26
자치,26
하늘,26
프라임,26
셀프,26
남부,26
복사,25
다방,25
도시락,25
매장,25
호텔,25
부대찌개,25
심곡,25
타이어,25
노가리,25
마음,25
꽈배기,25
역곡점,25
복싱,25
