Keyword,Frequency
학원,750
헤어,746
교습,519
의원,497
약국,486
분당,483
카페,361
커피,320
수학,315
한의원,298
치과,289
성남,289
판교,258
미술,246
네일,243
필라테스,238
영어,222
위례,169
수학학원,161
스튜디오,159
뷰티,158
식당,154
피아노,152
음악학,146
우리,145
치킨,144
영어학원,139
아트,134
태권도,131
살롱,124
스터디,117
김밥,116
마을,110
아이,108
안경,107
서현,101
토피아,93
플라워,91
아카데미,91
제이,90
사랑,87
논술,86
미용실,84
보습,82
정자,79
에스,79
플러스,79
갈비,79
음악,78
동물병원,77
골프,76
칼국수,75
상회,72
고기,70
중앙,70
한우,67
바디,66
스킨,64
피자,64
경희,63
곱창,62
족발,62
에이,62
헤어샵,60
스시,60
통닭,60
정육점,59
에스테,59
케어,59
과일,59
드림,58
오늘,57
축산,57
대국,57
케이,57
모란,55
연구소,55
떡볶이,54
숯불,54
키즈,54
푸드,53
연세,53
슈퍼,53
에이치,52
독서,52
분식,52
그린,51
에듀,50
교육,50
세탁소,50
요가,50
반찬,49
온누리,49
산성,48
뮤직,48
잉글리쉬,48
스토리,47
건강,47
부대찌개,47
베이커리,46
스타,46
국밥,45
나무,44
푸른,44
발달,44
꼬치,43
지씨,43
청소년,42
국어,42
기름,42
머리,41
포차,40
돈까스,40
구이,39
컴퓨터,38
돼지,38
의학과,38
그림,38
밥상,37
수산,37
미소,37
신흥,37
역점,36
하나,35
비어,35
데이,35
트리,35
공간,35
플레이,35
독서실,35
심리상담,35
마리,34
안경원,34
으뜸,34
떡집,34
이비인후과,34
아이스크림,34
복싱,33
어린이집,33
쭈꾸미,33
라인,33
하이,33
블루,33
하루,32
피부,32
행복,32
문구,32
리드,32
참치,32
세탁,32
마이,32
스포츠,32
스마트,31
바이,31
금광,31
삼겹살,30
두부,30
미래,30
갤러리,30
전주,30
닥터,29
야채,29
식품,29
마루,29
해장국,29
캠퍼스,29
도촌,28
사진관,28
가게,28
내과,28
소아,28
태평,28
해피,28
닭갈비,28
오리,28
스파,28
명품,28
맥주,27
닭발,27
국수,27
장수,27
스마일,27
탑점,27
만두,27
브로,27
이야기,26
발레,26
생각,26
푸줏간,26
점핑,26
보청기,26
방앗간,26
짬뽕,26
버거,26
고등,25
키친,25
감자탕,25
코코,25
청과,25
이화,25
의료,25
아름,24
자동차,24
옛날,24
순대,24
정형외과,24
팩토리,24
지사,24
스타일,23
명가,23
휘트니,23
프레,23
케이크,23
해법,23
초밥,23
위례점,22
한솔,22
라라,22
엄마,22
컴퍼니,22
하늘,22
보쌈,22
대장,22
조이,22
생선,22
아동,22
실용음악,22
청담,22
은행,22
화장품,22
디저트,22
뜰리,22
바다,22
호프,22
운동,21
공업,21
베이,21
모터,21
정육,21
코다리,21
용인대,21
국어학,21
에프,21
고향,21
댄스,21
미미,21
교실,21
교정,21
힐링,21
체육관,21
위드,21
뮤엠,21
리틀,21
포레,20
전문점,20
사고력,20
추어탕,20
스크린골프,20
꽈배기,20
냉면,20
클래스,20
할인,20
언어,20
낙지,20
맛집,20
콩나물,20
본가,20
재활,19
금빛,19
플랜,19
탁구,19
구미,19
청년,19
테이블,19
파리바게트,19
이스,19
상담,19
퍼스트,19
비빔밥,19
하트,19
이모,19
소리,19
파스타,19
선생,19
닭강정,18
토론,18
타임,18
올리브,18
마음,18
테니스,18
과학,18
링키,18
플로,18
크리,18
대치,18
어학,18
곰탕,18
할인점,17
명동,17
이드,17
다방,17
무지개,17
피트니스,17
나이스,17
금호,17
황금,17
클리,17
산후조리원,17
도담,17
아저씨,17
이삭,17
토스트,17
샤브,17
로우,16
뉴욕,16
오브,16
심리,16
도시락,16
초점,16
와인,16
카츠,16
우동,16
철물,16
왁싱,16
리더,16
아르,16
대원,16
시골,16
할머니,16
바이올린,16
우리동네,16
박사,16
라운지,16
메이드,16
경희대,16
가정의학,16
리스,16
수진,15
샤인,15
장어,15
스페이스,15
통신,15
세븐,15
모던,15
마마,15
홀릭,15
밸리,15
라운드,15
감성,15
베이글,15
플렉스,15
퀸즈,15
리딩,15
봄날,15
바로,15
중원,15
이레,15
가구,15
골드,15
퍼센트,15
동네,15
라멘,15
헬로,15
찜닭,15
효자,15
피자스쿨,15
연습장,14
패션,14
라이프,14
토탈,14
잉글리시,14
스윗,14
삼겹,14
메이,14
김치,14
찹쌀,14
백현,14
꼬마,14
형제,14
공감,14
염소,14
관리,14
산부인과,14
대성,14
뚜레쥬르,14
횟집,14
스카이,14
니스,14
정관,14
이엠,14
선경,14
테라,14
금점,14
디어,14
서점,14
샐러드,14
누리,13
수선,13
카나,13
스크린,13
포토,13
친구,13
주짓수,13
파워,13
창의,13
레드,13
리다,13
역전,13
명성,13
일리,13
클래식,13
보드,13
브레드,13
오토,13
지오,13
공판,13
스쿨,13
속눈썹,13
라이,13
번지,13
반점,13
지니,13
피아,13
뚜껑,13
고래,13
마취,13
통증,13
브레인,13
달인,13
러닝,13
태후,13
조명,13
피부관리,13
리아,13
비비큐,13
로스,13
나인,13
이크,13
유니,13
바이크,12
모리,12
오거리,12
멘토,12
벨라,12
트레이닝,12
와플,12
대박,12
피티,12
매점,12
두레,12
인생,12
정원,12
바베큐,12
스텀,12
프리,12
일품,12
등촌,12
무용,12
봉구,12
아구찜,12
리안,12
무술,12
찌개,12
돌고래,12
미가,12
과학학,12
리얼,12
더블유,12
꽃집,12
화이트,12
외과의,12
페리,12
글로리,12
대학,12
마스터,12
오복,12
정신건강,12
또봉,12
회관,12
염색,12
익스,12
맑은,12
플란트,12
블랙,12
화로,12
두피,12
농산물,12
메리,12
핫도그,11
노래,11
프로,11
오렌지,11
아지트,11
삼계탕,11
화원,11
김밥천국,11
타코,11
보이,11
오징어,11
고양이,11
가마솥,11
수리,11
풍년,11
타이어,11
협동조합,11
한빛,11
검도,11
아이비,11
코인,11
광장,11
자연,11
죽앤,11
소담,11
직판,11
팩토,11
정성,11
전기,11
창고,11
남한,11
사람,11
매머드,11
렌즈,11
소풍,11
원점,11
과자,11
달달,11
지음,11
다리,11
집밥,11
빈대떡,11
한잔,11
상대,11
낙원,11
미아,11
편의점,11
프랭크,11
제빵,11
김치찌개,11
안녕,11
평점,11
마스,11
장터,11
박스,11
줄넘기,11
향기,10
미용,10
토리,10
파파,10
당수,10
인테리어,10
라피,10
러브,10
메종,10
설렁탕,10
아이스,10
크림,10
미금역,10
그레이스,10
에이스,10
아쿠아,10
강정,10
풍천,10
리즈,10
코스,10
사회,10
처갓집,10
양념치킨,10
철뚝집,10
학교,10
건어물,10
청춘,10
센스,10
슈가,10
짜장,10
예술,10
입시,10
이안,10
로얄,10
기타,10
춘천,10
브라운,10
우성,10
병원,10
미래엔,10
