Keyword,Frequency
헤어,1403
학원,1060
교습,789
수원,665
카페,623
커피,530
의원,508
약국,404
수학,379
영어,376
광교,329
네일,314
한의원,302
미술,300
연습장,283
음악학,271
노래,268
치과,265
식당,259
뷰티,241
치킨,237
미용실,223
스튜디오,222
필라테스,215
영통,212
살롱,208
태권도,205
김밥,196
수학학원,188
우리,181
스터디,176
에스,173
제이,167
아이,166
음악,164
피자,162
영어학원,152
피아노,151
상회,151
아트,143
족발,139
헤어샵,137
포차,137
칼국수,136
논술,136
통닭,135
갈비,133
안경,125
고기,124
마을,123
골프,121
푸드,121
플라워,119
수산,118
매실,116
사랑,115
세탁소,113
아모레,112
축산,111
케어,111
숯불,109
플러스,109
곱창,109
지씨,109
에이,106
케이,104
대국,103
독서,102
권선,101
아이스크림,100
건강,100
정육점,99
오늘,99
카운셀러,99
에듀,97
원점,95
머리,93
매탄,92
떡볶이,91
사무소,90
아카데미,90
꼬치,89
스킨,88
에스테,86
토피아,86
그린,83
부대찌개,83
감자탕,83
중앙,82
닭발,81
구장,80
맥주,80
연구소,79
돼지,79
세탁,78
동물병원,78
에이치,78
자동차,77
삼겹살,76
반찬,76
드림,75
분식,74
슈퍼,74
스타,72
방앗간,72
모터,70
구이,70
심리상담,69
밥상,69
한우,68
바디,68
미소,67
스토리,67
인테리어,67
컴퓨터,67
인계,66
점핑,66
장안,66
과일,66
할인,65
행복,63
대박,63
갤러리,62
교육,62
라인,62
만두,61
당구,61
피부,61
스포츠,60
아이스,60
국수,60
스크린골프,59
식품,59
리드,59
닭갈비,59
통점,59
베이커리,59
철물,58
보쌈,58
데이,58
해장국,57
마루,56
엄마,56
잉글리쉬,56
하루,56
떡집,56
하이,56
이화,56
옛날,56
나무,56
마리,56
발달,55
요가,55
야채,55
경희대,55
돈까스,55
문구,54
서점,54
화서,54
명품,54
하늘,53
참치,53
코인,53
모텔,52
정자,52
짬뽕,52
경희,51
순대,51
국밥,51
국어,50
셀프,50
하나,49
해법,49
열쇠,49
비어,49
꼬마,49
푸른,49
키즈,49
해피,49
버거,48
체육관,48
용인대,48
잉글리시,48
뮤직,47
냉면,47
힐링,47
안경원,47
왁싱,47
교실,47
에프,47
부방,46
역전,46
호텔,46
패션,46
호프,46
프레,45
전기,45
할머니,44
실용음악,44
블루,44
초밥,43
추어탕,43
공간,43
시골,43
컴퍼니,42
전문점,42
통신,42
사진관,42
빨래,42
우동,42
세류,41
온누리,41
다방,41
막창,41
소리,41
지사,41
육회,40
망포,40
마이,40
마음,40
케이크,40
두부,40
다이어트,40
복싱,40
한식,40
협동조합,40
스시,39
창의,39
아주,39
스마트,39
미래,39
크리,38
학교,38
내과,38
청년,38
에이스,38
바베큐,38
찌개,38
연세,37
생각,37
반점,37
스타일,37
뮤엠,37
바다,37
고색,36
명가,36
이야기,36
청소년,36
동점,36
바이,36
오토,36
카츠,35
스마일,35
리틀,35
