Keyword,Frequency
시흥,613
헤어,543
학원,540
교습,305
카페,297
커피,262
의원,238
배곧,228
약국,207
수학,200
네일,190
영어,186
치킨,168
음악학,147
식당,136
김밥,129
공인,128
사무소,123
중개사,122
뷰티,119
태권도,115
정왕,112
미술,110
피자,107
치과,105
우리,104
고기,103
수학학원,103
포차,102
갈비,98
아이,98
푸드,98
필라테스,97
배곧점,95
스튜디오,92
족발,90
연습장,84
영어학원,83
피아노,81
곱창,79
아트,78
점핑,78
골프,77
통닭,74
살롱,74
플러스,74
에스,74
노래,73
논술,72
꼬치,72
한우,71
감자탕,70
스터디,69
월곶,67
시화,67
칼국수,67
숯불,66
오늘,66
떡볶이,65
음악,64
제이,64
한의원,63
축산,62
부방,61
돼지,60
수산,59
장현,59
사랑,58
헤어샵,58
독서,57
플라워,56
은행,55
맥주,54
대국,53
미용실,53
자동차,52
마을,52
세탁소,52
교실,52
케이,51
안경,50
신천,50
목감,50
지씨,50
잉글리쉬,49
에이,49
건강,49
짬뽕,48
계점,48
케이크,48
과일,48
드림,48
거북섬,48
순대,47
할인,46
구이,44
옛날,43
토피아,43
밥상,43
한라,43
아카데미,42
부대찌개,41
오이도,41
마리,41
그린,41
상회,41
정육점,41
미소,41
소비,41
돈까스,40
꼬마,40
마루,40
에이치,40
보쌈,40
스킨,40
하이,40
키즈,40
하루,39
행복,39
슈퍼,39
아이스크림,38
스타,38
해장국,38
참치,38
스포츠,38
국밥,37
분식,37
감점,37
가구,37
에스테,37
교육,37
닭발,36
닭갈비,35
과외,35
야채,35
에듀,35
흥정,35
추어탕,34
능곡,34
비어,34
중앙,33
구장,33
세탁,33
공업,33
푸르넷,33
케어,33
호프,33
모터,32
당구,32
삼겹살,32
냉면,31
한식,31
곡점,31
경희대,30
디저트,30
스토리,30
협동조합,30
우리동네,30
잉글리시,30
어린이집,30
대박,30
힐링,30
나무,30
사고력,30
피부,29
머리,29
인테리어,29
개인,29
아이스,29
반찬,29
