Keyword,Frequency
안산,832
헤어,697
학원,522
의원,352
약국,293
카페,285
커피,282
연습장,247
노래,233
치킨,193
식당,192
네일,172
교습,171
한의원,153
치과,152
김밥,139
중앙,136
우리,130
뷰티,124
수학,118
헤어샵,116
태권도,114
아모레,111
영어,109
포차,108
미용실,107
자동차,104
사랑,101
카운셀러,101
음악학,100
에스,100
칼국수,97
고기,92
족발,90
미술,90
세탁소,89
대국,87
피자,87
마을,86
갈비,81
통닭,81
아이,80
할인,78
살롱,78
플러스,77
푸드,76
수산,75
상회,75
안경,74
슈퍼,74
곱창,71
머리,71
숯불,71
스튜디오,71
제이,71
정육점,70
스타,69
스터디,69
감자탕,69
필라테스,69
플라워,67
골프,67
꼬치,67
상록,65
한우,65
축산,63
호프,63
철물,62
케이,61
드림,61
건강,61
피아노,59
지씨,59
그린,58
아트,58
아카데미,58
인테리어,58
국밥,57
상록수,57
구장,57
밥상,56
수학학원,56
구이,54
순대,54
짬뽕,54
방앗간,53
오늘,53
정비,51
아이스크림,51
대부,50
비어,50
명품,50
하이,50
모터,49
반월,49
부대찌개,49
돼지,49
분식,48
케어,48
점핑,46
옛날,46
음악,46
보쌈,45
동점,45
시골,44
식품,44
테크,44
닭발,44
스크린골프,44
맥주,43
푸른,43
떡볶이,43
스토리,42
문구,42
컴퓨터,42
추어탕,42
대박,42
엄마,41
오토,41
온누리,41
전기,41
당구,41
바다,40
스포츠,39
닭갈비,39
논술,39
바디,39
에이,39
영어학원,39
가구,39
해장국,38
세탁,38
반찬,38
잔점,38
스킨,37
피부,37
부곡,36
하나,36
공업,36
삼겹살,36
초지,36
한식,36
힐링,36
청과,35
프레,35
행복,35
내과,35
미소,35
국수,34
신길,34
체육관,34
타이어,34
중국,34
에프,33
대성,33
마루,33
전문점,33
토피아,33
친구,32
마리,32
의료,32
찌개,32
라인,31
교육,31
통신,31
미래,31
장수,30
돈까스,30
낙지,30
나무,30
안산선,30
장어,29
고려,29
휘트니,29
오점,29
발달,29
에스테,29
코인,29
웰빙,29
패션,29
데이,28
삼겹,28
역점,28
에이치,28
독서,28
갤러리,28
장터,28
대부도,28
마당,28
교실,27
유리,27
모텔,27
미용,27
건재,27
냉면,27
할머니,27
해피,27
매장,26
김밥천국,26
동산,26
정육,26
과일,26
스시,26
스크린,26
참치,26
지사,26
맛집,25
연구소,25
떡집,25
농원,25
코코,25
닭강정,25
스마트,25
설비,25
만두,25
경희,25
참숯,25
안경원,24
고향,24
형제,24
크리,24
동물병원,24
사람,24
이불,24
애견,24
동태,24
곡점,24
호수,24
농산,24
요가,23
콩나물,23
으뜸,23
베이커리,23
황금,23
꽈배기,23
연세,23
요양원,23
정형외과,23
야채,23
셀프,23
이야기,23
이비인후과,23
열쇠,23
라라,23
이모,23
이레,23
우리동네,23
마음,23
칼라,22
국어,22
곰탕,22
빨래,22
바베큐,22
와동,22
토스트,22
조명,22
오리,22
왁싱,22
아이스,22
낚시,22
에듀,22
김치,22
아동,22
횟집,22
용인대,21
전주,21
부방,21
명성,21
비지,21
매점,21
꼬마,21
카나,21
디저트,21
실용음악,21
누룽지,21
