Keyword,Frequency
안성,397
헤어,207
카페,144
식당,140
학원,136
의원,80
커피,72
공도,72
미용실,70
연습장,68
치킨,66
약국,65
노래,64
수학,60
교습,58
농원,58
해장국,49
상회,49
자동차,49
아모레,49
카운셀러,47
칼국수,46
중앙,44
김밥,40
영어,40
모터,39
우리,39
헤어샵,39
마을,38
포차,36
공업,36
네일,35
타이어,35
뷰티,35
음악학,35
치과,34
피자,33
미술,33
농장,32
살롱,31
태권도,31
감자탕,30
꼬치,30
짬뽕,30
에스,30
철물,30
갈비,30
사랑,29
포도,29
수산,28
푸드,28
분식,28
한식,28
방앗간,27
족발,27
숯불,27
건재,26
아이,26
한의원,26
모텔,26
정육점,26
아트,25
구장,24
구이,24
슈퍼,24
국밥,24
골프,23
밥상,23
통닭,23
엄마,23
스터디,22
에이,21
죽산,21
가구,21
제이,21
양성,20
교실,20
돼지,20
대국,20
추어탕,20
스튜디오,20
아이스크림,20
염소,19
피아노,19
곱창,19
안성맞춤,19
한우,19
머리,19
그린,19
정비공,19
삼겹살,19
스토리,19
떡볶이,19
세탁소,19
오리,18
꼬마,18
고기,18
호프,18
케이,18
플라워,17
농업,17
회사법,17
플러스,17
점핑,17
인테리어,17
필라테스,17
양평,16
이발관,16
설비,16
부대찌개,16
스포츠,16
건강,16
대림,16
수학학원,16
주유소,15
만두,15
오늘,15
어린이집,15
대박,15
부방,15
본가,15
사무소,15
고향,14
셀프,14
순대,14
홍익,14
문구,14
정육,14
공구,14
데이,14
드림,14
이야기,14
갤러리,14
영어학원,14
낚시터,14
에이치,14
스크린골프,14
명품,14
장수,14
축산,14
안경,14
대성,14
세차장,13
돈까스,13
미소,13
정비,13
편의점,13
두부,13
당구,13
사우나,13
스카이,13
옛날,13
스크린,13
뷔페,13
생선,13
막국수,13
가스,13
에프,13
청년,13
식품,13
무인,12
빨래,12
시골,12
힐링,12
이화,12
전문점,12
맥주,12
닭갈비,12
오토,12
에듀,12
용인대,12
매점,12
동산,12
컴퓨터,12
냉면,12
금광,12
푸른,12
통신,12
에스테,12
쭈꾸미,11
여관,11
하나,11
반점,11
나무,11
세차,11
프레,11
보쌈,11
반찬,11
전기,11
노래방,11
케어,11
에어컨,11
할인,11
미용,11
동물병원,11
의료,11
유리,11
꽈배기,11
안경원,11
아구찜,10
청과,10
아카데미,10
페인트,10
협동조합,10
전통,10
하늘,10
자연,10
향기,10
비봉,10
쌍용,10
마루,10
가마솥,10
행복,10
국수,10
하루,10
독서,10
떡집,10
논술,10
경희,10
화원,10
찹쌀,10
닭집,10
다방,10
다리,10
마당,10
부페,10
장터,10
화장품,10
회관,9
다이어트,9
공원,9
곰탕,9
김치찌개,9
스쿨,9
갈비탕,9
마리,9
키즈,9
닭발,9
스마트,9
별난,9
온누리,9
바다,9
프렌즈,9
자재,9
체육관,9
타일,9
황금,9
조이,9
바이크,9
명가,9
짜장,9
아이스,9
장어,9
농산물,9
피부,9
낚시,8
병천,8
한솔,8
남성,8
영농,8
과일,8
신흥,8
서점,8
과외,8
달빛,8
형제,8
안성시,8
비룡,8
베이커리,8
태양,8
일품,8
보습,8
아양,8
팩토리,8
도담,8
전자,8
우정,8
만세,8
비어,8
타임,8
에너지,8
막창,8
호텔,8
페리,8
정원,8
스넥,8
이용원,8
우리동네,8
정가,8
두리,8
세탁,8
토피아,8
지씨,8
동태,8
코인,7
써니,7
바이,7
음악,7
정점,7
사진관,7
뱅크,7
시장,7
아름,7
농약,7
전자담배,7
맑은,7
대신,7
성심,7
스팀,7
평택,7
라인,7
농기,7
분소,7
애니,7
예인,7
복지,7
휘트니,7
동광,7
목장,7
심리상담,7
영재,7
에이스,7
요가,7
공판,7
찌개,7
토종,7
카나,7
명동,7
할머니,7
정성,7
교동,7
대동,7
민속,7
직판,7
낙지,7
칠곡,7
횟집,7
대덕,7
세기,7
풍경,7
삼계탕,7
원조,7
오케이,7
소머리국밥,7
나이스,6
참치,6
으뜸,6
공간,6
테크,6
센스,6
마춤,6
리틀,6
사회,6
실용음악,6
금호,6
복싱,6
열쇠,6
설렁탕,6
허브,6
댄스,6
가온,6
샤브,6
해피,6
금산,6
대우,6
헬스,6
개인,6
스타,6
별밤,6
꼬꼬,6
포토,6
우주,6
밧데리,6
뮤직,6
공조,6
이엠,6
소아과,6
여우,6
세계,6
감성,6
포레스트,6
누리,6
산골,6
차이나,6
뮤엠,6
블루,6
진성,6
지오,6
무지개,6
유림,6
은혜,6
장미,6
처갓집,6
양념치킨,6
캠퍼스,6
고삼,6
인생,6
하이,6
이모,6
스시,6
사람,6
초원,6
출장,6
이불,6
케이크,6
돼지국밥,6
누룽지,6
진사,6
백년,6
디저트,6
낙원,6
농산,6
매운탕,6
바베큐,6
소망,6
공인,6
중개사,6
매니아,6
명성,6
달달,6
비지,6
리테일,6
숲속,6
의학과,6
맛집,6
대리,5
운전,5
시팡,5
이레,5
봉산,5
약초,5
왁싱,5
교육,5
리스,5
테리어,5
합법,5
크리,5
위니,5
남부,5
바디,5
캐슬,5
손맛,5
지물,5
도시락,5
달인,5
건업,5
전골,5
디포,5
찻집,5
박스,5
춘천,5
까페,5
연구소,5
클린,5
스텔라,5
건축,5
스페이스,5
리드,5
주짓수,5
스포,5
이스,5
과학,5
포장,5
나라,5
야식,5
단점,5
판매,5
청정,5
학교,5
기사,5
마음,5
미래,5
야호,5
그림,5
케이엠,5
대풍,5
로우,5
바둑,5
생각,5
김밥천국,5
이비인후과,5
석유,5
오토바이,5
컴퍼니,5
플로,5
에덴,5
미가,5
사거리,5
멕시카,5
백반,5
국어,5
아시아,5
은하수,5
독서실,5
플레이,5
훠궈,5
신안,5
법무사,5
자전거,5
요양원,5
코다리,5
소담,5
연세,5
아방궁,5
글라스,5
미장원,5
쿵푸,5
패션,5
의류,5
풍년,5
다담,5
룩스,5
박사,5
루비,5
금화,5
떡방아,5
하하,5
노랑,5
보리밥,5
도토리,5
어촌,5
축산물,5
소리,5
면옥,5
비비큐,5
신통,5
문화,5
양푼,5
스케치,5
휴대폰,5
리얼,5
쉐프,5
사계절,5
연탄구이,5
신라,4
휴게소,4
장군,4
목욕탕,4
자매,4
과수원,4
가마,4
옷장,4
순이,4
두꺼비,4
새벽,4
꽁꽁,4
옐로우,4
성공,4
수선,4
상상,4
킹덤,4
체험,4
화로,4
동원,4
샘물,4
장식,4
디오,4
사랑방,4
또래,4
닥터,4
재활,4
호수,4
석정,4
백숙,4
고려,4
요리,4
김치,4
라이프,4
발레,4
안성고,4
항아리,4
순두부,4
프라임,4
장금,4
명인,4
터미널,4
통큰,4
기린,4
산들,4
멀티,4
경희대,4
테마,4
제우스,4
웰빙,4
대왕,4
한결,4
철망,4
중부,4
우유,4
사료,4
갈비살,4
토스트,4
패밀리,4
유도,4
도우미,4
그늘,4
더존,4
세상,4
유니,4
촌가,4
세진,4
최강,4
조합,4
법인,4
습소,4
기탄,4
사고력,4
삼정,4
브이,4
재료,4
아리,4
탁구,4
운동,4
발달,4
모바일,4
중국,4
