Keyword,Frequency
헤어,284
학원,266
옥정,152
카페,150
양주,132
식당,122
커피,104
네일,83
수학,77
치킨,70
교습,69
의원,66
음악학,62
태권도,61
약국,60
영어,55
뷰티,55
자동차,53
대국,50
우리,50
덕정,47
아이스크림,46
통닭,45
농원,45
마을,43
피자,43
스터디,43
공업,42
미술,42
칼국수,41
모터,41
김밥,41
고기,40
제이,39
스튜디오,39
정점,39
미용실,37
살롱,37
족발,36
에스,35
노래,35
플러스,35
연습장,34
치과,33
교실,32
부방,32
갈비,31
푸드,31
사랑,31
떡볶이,31
회천,30
한의원,30
케어,30
정육점,29
상회,29
타이어,29
골프,29
곱창,29
아이,28
아카데미,28
피아노,28
포차,28
숯불,28
수학학원,28
플라워,27
주점,27
헤어샵,27
해장국,26
주옥,26
철물,26
영어학원,24
한우,24
짬뽕,24
요양원,24
옛날,23
아트,23
삼겹살,23
건강,23
부대찌개,23
사고력,22
안경,22
방앗간,22
스토리,22
머리,22
마리,22
사무소,22
필라테스,22
국밥,21
토피아,21
문구,21
농장,21
구장,21
분식,20
인테리어,20
오늘,20
키즈,20
스포츠,20
에이치,19
중앙,19
읍점,19
나무,19
지씨,19
돼지,19
그린,19
세탁소,19
송추,19
마루,19
드림,19
기탄,18
아이스,18
전기,18
스시,18
돈까스,18
독서,18
에이,18
백석,18
소비,17
가구,17
셀프,17
양주시,17
음악,17
감자탕,17
점핑,17
미소,17
에스테,17
바디,17
케이,17
잉글리쉬,16
에듀,16
푸른,16
논술,16
축산,16
한식,16
장흥,16
꽈배기,16
양평,16
캠퍼스,16
장어,15
만두,15
스마일,15
세탁,15
형제,15
스킨,15
설비,15
수산,15
밥상,15
냉면,15
닭발,14
스타,14
일품,14
교육,14
에프,14
하나,14
식품,14
할인점,14
연구소,14
용인대,14
번지,14
호프,14
코인,14
꼬치,14
공간,14
닭갈비,14
이야기,14
바베큐,14
건재,14
청소년,13
공구,13
찹쌀,13
반점,13
소리,13
정비,13
구이,13
떡집,13
황금,13
정육,13
컴퓨터,13
하이,13
케이크,13
슈퍼,13
스마트,13
맛집,13
에어컨,13
스크린,13
스크린골프,13
국수,13
코다리,12
화원,12
엄마,12
마이,12
과일,12
보쌈,12
명품,12
대성,12
반찬,12
버거,12
요가,12
닭강정,12
주민,12
트리,12
유리,12
해물,12
소아,11
달인,11
컴퍼니,11
농업,11
심리상담,11
뮤직,11
아모레,11
카운셀러,11
원조,11
복싱,11
정원,11
댄스,11
뷔페,11
행복,11
동물병원,11
호수,11
삼계탕,11
블루,11
맥주,11
리테일,11
당구,11
줄넘기,11
오토,11
해피,11
협동조합,10
뚜껑,10
조명,10
세차장,10
경희,10
추어탕,10
오리,10
쭈꾸미,10
시청,10
청년,10
미래,10
정밀,10
막창,10
펜션,10
염소,10
퍼스트,10
산장,10
보습,10
자치,10
비지,10
미래엔,10
서점,10
사진관,10
레이스,10
청담,10
가래,10
주유소,9
피부,9
스파,9
오케이,9
커튼,9
세차,9
전자,9
바다,9
매운탕,9
할머니,9
양주고,9
테크,9
무지개,9
참숯,9
주방,9
공감,9
자재,9
기계,9
전문점,9
무인,9
뚜레쥬르,9
연세,9
브로,9
창고,8
고향,8
하늘,8
파스타,8
장수,8
곰탕,8
정비공,8
평화,8
스쿨,8
주짓수,8
비빔밥,8
토즈,8
라운지,8
복지관,8
수선,8
토종,8
독서실,8
이비인후과,8
삼겹,8
행정사,8
우동,8
친구,8
엠베스트,8
국어,8
힐링,8
모텔,8
지사,8
열쇠,8
백숙,8
강아지,8
복지,8
도시락,8
텔레콤,8
두부,8
조이,8
장군,8
빨래,8
토스트,8
이크,8
호텔,8
꼬마,8
프라임,8
디저트,8
마스터,8
포레,7
에이스,7
회사법,7
지리,7
클래스,7
프로,7
대방,7
사우나,7
스팀,7
실용음악,7
장터,7
크리,7
북부,7
두리,7
동태,7
위드,7
순대,7
대패,7
하나로,7
인생,7
밧데리,7
향기,7
달빛,7
잉글리시,7
기사,7
고려,7
대박,7
스페이스,7
산골,7
설렁탕,7
페인트,7
편의점,7
짜장,7
워시,7
통신,7
휘트니,7
주덕,7
데이,7
능이,7
낚시터,7
다방,7
해법,7
국가대표,7
춘천,7
보리밥,7
막국수,7
청소,7
세븐,7
이화,7
웰빙,7
애견,7
미용,7
세상,7
라인,7
공부,7
명가,7
공인,7
중개사,7
플레이,7
이모,7
윙스,7
오레,7
스타일,7
찌개,7
카츠,7
밀리,7
영농,7
부부,7
코코,7
내과,7
도리,6
관리,6
사회,6
신의주,6
동두천,6
두루치기,6
그림,6
나리,6
옥빛,6
프리,6
유명,6
더블유,6
대명,6
리얼,6
체육관,6
바이,6
도매,6
디지털,6
본가,6
프롬,6
응응스크르,6
양주삼,6
헬로,6
자연,6
백년,6
다육,6
키친,6
어학,6
테니스,6
렌즈,6
전자담배,6
육회,6
별빛,6
낙지,6
누리,6
신우,6
오토바이,6
공조,6
파워,6
가게,6
샤브,6
포장,6
밥집,6
주광,6
맑은,6
나인,6
면옥,6
의정부,6
우진,6
부흥,6
계란,6
피씨,6
루미,6
가족,6
감동,6
국물,6
초록,6
태양,6
용용,6
