Keyword,Frequency
양평,267
카페,109
헤어,95
용문,77
식당,76
커피,58
학원,56
의원,54
교습,49
약국,46
치킨,46
평점,45
마을,36
미용실,32
한의원,30
영어,29
갈비,28
상회,26
우리,25
농업,24
회사법,24
옥천,23
농원,22
용문산,22
그린,21
농장,21
막국수,21
족발,21
슈퍼,21
아모레,20
중앙,20
칼국수,20
피자,20
김밥,20
치과,19
해장국,19
수학,19
펜션,19
헤어샵,18
골프,17
나무,17
닭갈비,17
스튜디오,16
철물,16
카운셀러,16
뷰티,15
구장,15
정육점,15
추어탕,15
건강,15
국수,14
필라테스,14
미술,14
음악학,14
네일,14
에스,14
짬뽕,14
마당,13
건재,13
두물머리,13
한우,13
스터디,13
시골,13
맑은,13
숯불,12
구이,12
사랑,12
장어,12
피아노,12
고기,12
협동조합,12
분식,12
돼지,12
대국,12
지평,12
고향,11
곱창,11
강상,11
포차,11
케이,11
떡볶이,11
반찬,11
에스테,11
보쌈,11
만두,11
밥상,11
춘천,11
태권도,11
동물병원,11
마루,11
공업,10
방앗간,10
꼬치,10
양수리,10
감자탕,10
영어학원,10
에프,10
횟집,10
푸드,10
모텔,10
대박,10
타이어,10
자동차,10
보리밥,10
위원회,10
제이,10
양수,10
강하,9
염소,9
맛집,9
냉면,9
매운탕,9
부대찌개,9
향기,9
한강,9
설렁탕,9
호리,9
방아,9
불교,9
불고기,9
마리,9
가스,9
밥집,9
베이커리,9
주민,9
자치,9
카나,9
페리,9
아이,8
영농,8
자연,8
연습장,8
하루,8
에이치,8
건축,8
오늘,8
아구찜,8
시장,8
드림,8
음악,8
세탁소,8
평강,8
주유소,7
논술,7
국밥,7
지오,7
스타,7
노래,7
정원,7
의료,7
가게,7
옛날,7
테라,7
리테일,7
소리,7
전문점,7
사회,7
유리,7
쌀국수,7
식품,7
대명,7
해물,7
수산,7
요가,7
아카데미,7
수학학원,7
쭈꾸미,7
전통,7
조계종,7
용문사,7
김치,7
오리,7
닭발,7
전기,7
조명,7
문호,7
수리,7
수제,6
안경원,6
동태,6
가람,6
페인트,6
에이,6
꽈배기,6
위드,6
플레이,6
문구,6
스크린,6
서점,6
마음,6
장터,6
형제,6
바이오,6
미소,6
곰탕,6
반점,6
컨설턴트,6
숲속,6
한정식,6
아이스크림,6
안경,6
지니,6
독서,6
양평군,6
화원,6
이야기,6
동네,6
바다,6
금호,6
머리,6
블루,6
통닭,6
모터,6
디저트,6
제빵,6
왕창,6
자재,6
베이,6
엄마,6
스포츠,6
육회,6
참숯,6
유일,5
버거,5
스크린골프,5
역전,5
황태,5
합법,5
가마솥,5
순이,5
집밥,5
이화,5
떡집,5
포레,5
우동,5
캠프,5
보청기,5
지사,5
백안,5
비지,5
행복,5
부방,5
공구,5
스토리,5
모던,5
우드,5
신드롬,5
할인,5
스킨,5
교육,5
예술,5
허브,5
까페,5
고바우,5
정육,5
조경,5
매직,5
꽃집,5
공주,5
명가,5
대흥,5
부뚜막,5
풍천,5
청운,5
농가,5
청년,5
가구,5
담소,5
투어,5
낙지,5
비비큐,5
하나,5
푸른,5
상점,5
미래,5
구름,5
쌈밥,5
갤러리,5
바베큐,5
토피아,5
케어,5
힐링,5
돈까스,5
평양,5
포레스트,5
태양,5
축산,5
고려,5
도담,5
라인,4
국어,4
과일,4
돈가스,4
화장품,4
통통,4
대우,4
플라워,4
미산,4
순두부,4
보습,4
교실,4
송어,4
주막,4
사무소,4
소머리국밥,4
리틀,4
새마을,4
대원,4
명물,4
농부,4
삼화,4
신발,4
매장,4
매점,4
스마일,4
명품,4
삼겹살,4
시루,4
두부,4
전골,4
초록,4
온누리,4
바디,4
체육관,4
잉글리쉬,4
종점,4
설비,4
호텔,4
유도,4
용두,4
컴퍼니,4
어탕,4
리버,4
스페이스,4
아프리카,4
바로,4
평화,4
여기,4
남원,4
메밀,4
멸치,4
키즈,4
미정,4
초밥,4
타임,4
가원,4
청국장,4
번지,4
부자,4
푸줏간,4
민들레,4
또래,4
약초,4
복지관,4
헤리,4
베르,4
참치,4
의학과,4
인테리어,4
공간,4
종묘,4
개울,3
창고,3
이쿠,3
서라벌,3
핫도그,3
만물,3
나루터,3
두루치기,3
낭만,3
커튼,3
브리,3
이씨,3
정가,3
그림,3
보배,3
영화,3
한길,3
복싱,3
미스터,3
명성,3
세탁,3
군청,3
로또,3
남매,3
파티,3
은행,3
두리,3
지물포,3
스마트,3
순대,3
코지,3
전집,3
코다리,3
프렌즈,3
놀이터,3
계곡,3
미장원,3
기계,3
농기,3
사우나,3
기와,3
부부,3
간이역,3
호남,3
데이,3
무인,3
으뜸,3
이태리,3
사람,3
미르,3
출판,3
수선,3
레즈,3
바이,3
유진,3
머리방,3
새봄,3
데코,3
피부관리,3
육개장,3
도토리,3
명인,3
클린,3
소담,3
포리,3
안녕,3
바바,3
달달,3
통신,3
라지,3
오븐,3
이삭,3
직판,3
목장,3
다방,3
센스,3
에듀,3
한증막,3
컴퓨터,3
대학,3
캠퍼스,3
허밍,3
관광,3
올리브,3
내과,3
청정,3
낚시,3
혜진,3
찌개,3
유명,3
레드,3
노래방,3
백숙,3
세차장,3
크리,3
삼거리,3
오케이,3
발달,3
보리,3
아트,3
박스,3
문화,3
용인대,3
하이,3
하나로,3
정형외과,3
꼬마,3
포유,3
장수,3
호프,3
광수,3
할인점,3
비어,3
키친,3
리드,3
땅스,3
의류,3
연세,3
소나무,3
꽃방,3
다육,3
정담,3
여우,3
삼계탕,3
주단,3
헬스,3
딸기,3
천년,3
찻집,3
우촌,3
평창,3
옹심이,3
별빛,3
희망,3
리본,3
우리동네,3
유미,3
체험,3
찜닭,3
유성,3
정안,3
닭강정,3
경희,3
살롱,3
리다,3
강변,3
테라스,3
도도,3
