Keyword,Frequency
여주,205
헤어,104
카페,83
식당,82
아모레,72
학원,59
의원,57
카운셀러,56
농원,49
미용실,46
연습장,45
약국,43
커피,41
정육점,39
노래,36
자동차,33
치킨,32
헤어샵,32
상회,32
주점,32
해장국,31
골프,30
칼국수,30
우리,29
마을,29
포차,29
치과,28
교습,28
네일,28
김밥,27
족발,25
한의원,25
분식,23
영어,23
방앗간,22
중앙,22
한우,22
뷰티,21
철물,20
갈비,20
양평,20
음악학,20
농장,19
공업,19
막국수,19
사랑,19
슈퍼,18
푸드,18
능서,18
농업,18
회사법,18
수산,17
두부,17
짬뽕,17
밥상,17
타이어,17
대신,17
숯불,17
태평,16
도예,16
한강,16
건강,15
고기,15
스크린골프,15
감자탕,15
수학학원,15
구이,15
대국,15
통닭,15
이포,14
에스,14
스포츠,14
세탁소,14
피자,14
돼지,14
농약,14
수학,13
이발관,13
건재,13
태권도,13
그린,13
사무소,13
꽈배기,13
자재,12
여주시청,12
살롱,12
하나,12
명품,12
매점,12
외판,12
전기,12
스튜디오,12
설비,12
제이,12
대성,12
푸른,12
고려,12
닭갈비,11
케이,11
하리,11
모터,11
삼겹살,11
도자기,11
스타,11
시골,11
추어탕,11
스터디,11
마루,11
가구,11
가스,11
화원,11
안경,11
맛집,11
통신,11
옛날,11
머리,11
카나,10
할인,10
정원,10
세차장,10
미술,10
갤러리,10
태양,10
전문점,10
모텔,10
횟집,10
명성,10
영농,10
만두,10
여흥,9
페리,9
협동조합,9
아이스크림,9
막창,9
미래,9
반찬,9
아이,9
주유소,9
가마,9
컴퓨터,9
매운탕,9
플라워,9
셀프,9
편의점,9
고향,9
여주시,9
구장,9
순대,9
마리,8
밥집,8
빨래,8
에이치,8
식품,8
오리,8
스크린,8
오늘,8
나무,8
마당,8
대박,8
부대찌개,8
여주대,8
주방,8
금강,8
소나무,8
축산,8
정비,8
이야기,8
하이,8
연구소,8
바지락,8
호프,8
합법,8
피아노,8
과일,7
쌀밥,7
데이,7
뚜껑,7
회관,7
기계,7
정육,7
명가,7
부영,7
열쇠,7
국밥,7
고을,7
상품,7
형제,7
문구,7
장어,7
스마일,7
강변,7
보쌈,7
아카데미,7
숲속,7
냉면,7
곰탕,7
동물병원,7
토종,7
장애인,7
당구,7
페인트,7
곱창,7
케어,7
보리밥,7
엄마,7
여관,7
위드,7
여강,6
인쇄,6
교실,6
하늘,6
가게,6
화장품,6
여행,6
대림,6
블루,6
연합,6
공구,6
요가,6
대리,6
버섯,6
학점,6
잉글리쉬,6
다방,6
운전,6
돈까스,6
필라테스,6
터미널,6
찹쌀,6
하루,6
장수,6
농산,6
주오,6
서리,6
조명,6
직판,6
사진관,6
프레,6
행복,6
복지관,6
키즈,6
쭈꾸미,6
유리,6
청년,6
머리방,6
닭발,6
동태,6
디저트,6
자전거,6
한식,5
애플,5
이레,5
오토바이,5
보습,5
금사,5
세탁,5
라이브,5
닭강정,5
지물,5
장식,5
다육,5
참외,5
새마을,5
영진,5
영양탕,5
닥터,5
김밥나라,5
토피아,5
아시아,5
라인,5
옹심이,5
가마솥,5
해물,5
원조,5
월송,5
백숙,5
신발,5
심리상담,5
디어,5
청소년,5
베이커리,5
해피,5
송어,5
양념치킨,5
조선,5
설렁탕,5
보이,5
미트,5
청과,5
조이,5
천국,5
교육,5
맥주,5
나루,5
에스테,5
반점,5
인테리어,5
스톤,5
체육관,5
텔레콤,5
떡볶이,5
코다리,5
아로마,5
희망,5
스쿨,5
염소,5
세차,5
바베큐,5
에어컨,5
에이,5
국수,5
이불,5
토탈,5
수선,5
토마토,5
판매,5
의료,4
명동,4
꼬치,4
매류,4
청춘,4
정식,4
보리,4
목욕탕,4
금성,4
연세,4
네이처,4
컬렉션,4
장군,4
학생복,4
장원,4
황토,4
관광,4
초록,4
민물,4
레스토랑,4
스시,4
미용,4
뚜레쥬르,4
뚝배기,4
세븐,4
번지,4
웰빙,4
갑산,4
토이,4
힐링,4
스카이,4
버거,4
찌개,4
골드,4
또래,4
이안,4
평화,4
부방,4
뉴욕,4
민박,4
법무사,4
아트,4
대명,4
댄스,4
영재,4
남강,4
학교,4
스토리,4
서방,4
산북,4
점봉,4
소아,4
언어,4
심리,4
김밥천국,4
금호,4
뷔페,4
테라,4
드림,4
대흥,4
막창구이,4
건우,4
농가,4
낚시,4
홀인원,4
피부,4
종묘,4
오름,4
메이,4
홍문,4
학동,4
프로,4
프렌즈,4
노래방,4
일품,4
본가,4
식물원,4
휴게소,4
황금,4
샘물,4
농부,4
꼬마,4
도시락,4
메밀,4
스킨,4
비어,4
떡집,4
요업,4
언니,4
노인,4
어스,4
보청기,4
스마트,4
이화,4
나인,4
인텔,4
수연,4
우방,4
미미,4
동원,4
부페,3
메이드,3
운동화,3
해성,3
은성,3
예인,3
진미,3
명주,3
생선,3
세상,3
남점,3
소머리국밥,3
애견,3
포레,3
워시,3
밧데리,3
마약,3
백산,3
약초,3
쌈밥,3
갈비탕,3
뮤엠,3
정도,3
전시장,3
자연,3
정수기,3
상일,3
남도,3
삿갓,3
대궁,3
불곱창,3
유공,3
일링,3
공감,3
자연석,3
러브,3
나루터,3
신용,3
수정,3
감자,3
감성,3
풍천,3
춘천,3
체형,3
관리,3
음악,3
풍년,3
포레스트,3
듬뿍,3
비비큐,3
용인대,3
건축,3
멕시카,3
검사,3
인견,3
유스,3
물회,3
소울,3
독서,3
국어,3
