Keyword,Frequency
식당,69
전곡,61
카페,38
상회,29
헤어,28
치킨,25
보건,23
학원,22
철물,21
아모레,21
자동차,21
카운셀러,19
공업,19
연천군,19
농원,19
청산,18
미용실,17
약국,16
마을,16
분식,16
우리,14
의료,14
모텔,13
군청,13
오리,12
건강,12
농업,12
회사법,12
피자,12
한탄강,12
커피,12
갈비,11
마루,11
백학,11
옛날,11
의원,11
숯불,10
연천,10
부대찌개,10
두부,10
중앙,10
농장,10
대국,10
족발,10
건재,10
영농,10
대산,10
동막골,10
방앗간,9
통닭,9
인테리어,9
정육점,9
해장국,9
그린,9
국밥,8
포차,8
임진강,8
돈까스,8
매운탕,8
사무소,8
고기,8
뷰티,7
여관,7
밥상,7
만두,7
에이치,7
사랑,7
양평,7
모터,7
진료,7
슈퍼,7
닭갈비,7
헤어샵,7
수산,7
장어,7
미소,7
공구,7
로하스,6
에덴,6
떡집,6
반점,6
마리,6
한식,6
칼국수,6
주유소,6
조명,6
한의원,6
합법,6
펜션,6
에프,6
농기,6
플라워,6
화원,6
막국수,6
오토,6
청년,6
국수,6
구석기,5
안경,5
김밥,5
골프,5
미술,5
청춘,5
연습장,5
스토리,5
통신,5
버거,5
맛집,5
대성,5
한우,5
살롱,5
비지,5
리테일,5
곱창,5
하나,5
이야기,5
페리,5
카나,5
고향,5
푸드,5
협동조합,5
감자탕,4
공주,4
자연,4
돼지,4
영어,4
교실,4
정육,4
치과,4
노래,4
체육관,4
어부,4
가람,4
동물병원,4
전기,4
사철탕,4
농약,4
가스,4
연강,4
아이스크림,4
캠핑장,4
태권도,4
교육,4
아미,4
휴게소,4
희망,4
조합,4
춘천,4
토종,4
스마일,4
전주,4
교습,4
호프,4
머리,4
초밥,4
판매,4
세탁소,4
행복,4
정원,4
지물포,4
초성,4
닭강정,4
전자,4
베리,4
구장,4
회관,3
면사무소,3
영어학원,3
백숙,3
대박,3
낚시,3
난타,3
복싱,3
믿음,3
나무,3
약품,3
스카이,3
가구,3
미장원,3
이면,3
전문점,3
텔레콤,3
종묘,3
삼겹살,3
목장,3
청과,3
갤러리,3
오늘,3
네일,3
추억,3
육회,3
시골,3
나룻배,3
남원,3
성화,3
위드,3
임진,3
형제,3
법인,3
설비,3
골목,3
미래,3
명품,3
편의점,3
매니아,3
진미,3
플러스,3
대명,3
커텐,3
풍천,3
장기선,3
대리,3
운전,3
박사,3
