Keyword,Frequency
오산,452
헤어,263
학원,166
카페,127
교습,95
커피,93
수학,73
의원,72
식당,71
약국,67
영어,66
연습장,65
태권도,63
동점,61
음악학,59
노래,59
치킨,57
미술,52
네일,49
뷰티,46
김밥,45
상회,43
골프,40
교점,40
운암,40
아이,39
에스,39
우리,39
푸드,39
통닭,37
치과,36
스터디,35
미용실,35
살롱,35
피자,35
족발,34
헤어샵,34
한의원,34
제이,33
아이스크림,31
곱창,30
산세,30
칼국수,29
갈비,28
안경,28
오산대역,28
오산시청,27
숯불,27
떡볶이,27
감자탕,27
축산,26
지씨,26
드림,26
영어학원,25
수학학원,25
사랑,25
마을,24
스튜디오,24
아트,23
음악,23
부방,23
스크린골프,23
아카데미,23
포차,22
필라테스,22
대국,22
세탁소,22
스토리,22
용인대,21
오색,21
플러스,21
슈퍼,21
꼬치,20
중앙,20
머리,20
자동차,20
할인,20
에프,20
플라워,19
모터,19
닭발,19
구이,19
정육점,19
돼지,19
옛날,19
스포츠,18
구장,18
닭갈비,18
한우,18
밥상,18
케이,18
세탁,18
피아노,18
그린,18
방앗간,18
곶점,17
짬뽕,17
향기,17
에이,16
아모레,16
에스테,16
부대찌개,16
식품,15
어린이집,15
분식,15
엄마,15
수산,15
토피아,15
인테리어,15
과일,14
국밥,14
바디,14
교실,14
행복,14
청점,14
스크린,14
동탄,14
해장국,14
호텔,14
교육,14
컴퓨터,14
점핑,13
협동조합,13
스타,13
경희대,13
연구소,13
스킨,13
오늘,13
동물병원,13
철물,13
역점,13
호프,13
중국,12
정육,12
대박,12
케어,12
논술,12
하나,12
반점,12
전문점,12
열쇠,12
오리,12
삼겹살,12
추어탕,12
에이치,12
세차장,12
다방,12
베이커리,12
반찬,12
전기,12
나무,12
대우,12
당구,11
쭈꾸미,11
파워,11
건강,11
한솔,11
화성,11
에듀,11
잉글리쉬,11
소리,11
보쌈,11
고기,10
문구,10
참치,10
비어,10
리드,10
독서,10
버거,10
유리,10
마리,10
내과,10
오토,10
하루,10
만두,10
타이어,10
조명,10
독서실,10
바베큐,10
해피,10
미소,10
과외,10
아이스,10
꼬마,10
뮤직,10
하이,10
미래엔,10
키즈,10
대림,10
코다리,9
체육관,9
정비,9
심리상담,9
화원,9
줄넘기,9
장수,9
프로,9
피자스쿨,9
남성,9
정비공,9
오산시,9
가장,9
프렌즈,9
성호,9
남촌,9
시골,9
황제,9
맥주,9
보습,9
무인,9
국수,9
클래스,9
잉글리시,9
양산,9
복싱,8
지사,8
셀프,8
한식,8
발달,8
스쿨,8
마스터,8
코인,8
또봉,8
우리동네,8
도담,8
김치찌개,8
스마트,8
스시,8
감성,8
공간,8
리틀,8
태양,8
퍼스트,8
세차,8
케이크,8
닭강정,8
조이,8
부부,8
위드,8
명성,8
여관,8
가마솥,8
박사,8
경희,8
고향,8
전통,8
개인,8
참숯,8
크리,8
떡집,8
회관,8
양념치킨,8
푸른,7
가구,7
바이크,7
소머리국밥,7
마루,7
대장,7
빨래,7
모드,7
세미,7
두리,7
블루,7
남원,7
육회,7
라인,7
순대,7
공구,7
비지,7
리테일,7
돈까스,7
김밥천국,7
본가,7
봄날,7
두부,7
으뜸,7
미래,7
청년,7
토스트,7
사진관,7
스마일,7
두레,7
데이,7
나이스,7
테니스,7
의료,7
해법,7
막창,7
센스,7
온누리,7
키친,7
워시,7
아구찜,7
모텔,7
바베큐치킨,7
패션,7
청호,6
야채,6
웰빙,6
페리,6
관리,6
엘리,6
대가,6
국어,6
미미,6
설렁탕,6
에이스,6
영재,6
대원,6
장식,6
요거트,6
더블유,6
시장,6
장터,6
이비인후과,6
원동,6
국가대표,6
오산고,6
럭키,6
정원,6
삼계탕,6
냉면,6
매장,6
피트니스,6
레드,6
영어교실,6
공업,6
학교,6
타일,6
요양원,6
이삭,6
하늘,6
찜닭,6
스카이,6
명인,6
이야기,6
쿵푸,6
달달,6
대포,6
삼겹,6
모닝,6
대성,6
세마역,6
천지,6
주짓수,6
타임,6
피부,6
어학,6
보리밥,6
천안,6
프라임,6
우도,6
카나,6
수선,6
매점,6
우림,6
매니아,6
누룽지,6
하모니,6
청학,6
최고,6
고추,6
해물,6
독산성,6
아저씨,6
빵집,6
이화,6
제이제이,6
다이어트,6
인삼,6
주막,6
처갓집,6
요가,6
트리,6
휘트니,6
제로,6
엘리트,6
청소년,6
탁구,5
아리랑,5
우등,5
미장원,5
바이,5
골드,5
포레,5
니스,5
퀸즈,5
원점,5
초심,5
황금,5
염소,5
이불,5
뷔페,5
야시장,5
명품,5
미니,5
청담,5
왁싱,5
대명,5
그림,5
염색,5
통신,5
이모,5
교동,5
도장,5
일리,5
프레,5
노래방,5
누리,5
영화,5
뚜껑,5
디테,5
일링,5
오름,5
소비,5
토리,5
실용음악,5
포유,5
아담,5
크림,5
캠퍼스,5
샤브,5
리노,5
두꺼비,5
홍익,5
공주,5
형제,5
힐링,5
코너,5
연세,5
미스,5
금성,5
고집,5
국체,5
명태,5
헬로,5
샤인,5
우남,5
뮤엠,5
대호,5
찌개,5
운동,5
시즌,5
단지,5
스피드,5
올리브,5
아쿠아,5
엔씨,5
지역,5
도시락,5
노랑,5
청춘,5
우주,5
보청기,5
블랙,5
뚜레쥬르,5
황소,5
과학,5
아빠,5
베베,5
여우,5
역전,5
컷트,5
할머니,5
초점,5
리치,5
메이,5
미용,5
마이,5
봉평,5
유림,5
청과,5
학생복,5
에어컨,5
신통,4
구제,4
동부,4
셀파,4
데이지,4
스페이스,4
이음,4
포토,4
오브,4
다리,4
곰탕,4
중국어,4
앤톡,4
렛츠,4
금산,4
파티,4
아지트,4
라라,4
텔레콤,4
