Keyword,Frequency
학원,1066
헤어,874
용인,795
교습,763
의원,610
카페,576
커피,460
약국,405
수학,400
미술,352
영어,329
치과,280
음악학,267
한의원,232
네일,230
식당,213
수지,212
태권도,202
수학학원,195
스터디,194
치킨,190
김밥,184
피아노,181
필라테스,176
우리,169
영어학원,164
골프,161
아트,158
연습장,152
에스,147
뷰티,146
스튜디오,145
아이,141
노래,141
살롱,138
제이,137
기흥,123
피자,121
논술,120
사랑,119
아모레,114
통닭,109
드림,105
카운셀러,103
칼국수,102
미용실,102
푸드,101
안경,101
족발,100
플러스,100
음악,100
광교,98
마을,97
케이,94
에듀,94
플라워,93
에이,93
아카데미,92
고기,91
독서,89
아이스크림,87
보라,87
토피아,86
헤어샵,85
동백,83
떡볶이,82
곱창,82
흥덕,82
자동차,80
동물병원,79
스포츠,78
세탁소,77
나무,74
그린,74
갈비,74
포차,73
모터,73
지씨,72
스크린골프,71
내과,70
구이,69
에이치,69
세탁,69
용인대,69
오늘,68
한우,68
대국,66
축산,64
국어,64
잉글리쉬,64
연구소,63
케어,63
상회,62
숯불,61
스토리,61
미소,60
정육점,60
철물,60
스타,60
인테리어,59
상현,59
스킨,59
요가,59
리드,58
건강,57
해장국,56
꼬치,56
경희,56
키즈,55
신봉,55
청소년,55
발달,55
감자탕,54
보정,54
문구,53
마루,52
한식,52
점핑,52
돼지,51
짬뽕,51
이비인후과,51
독서실,50
부대찌개,49
스마트,49
슈퍼,49
실용음악,49
구장,49
에스테,49
스시,48
분식,48
공업,48
트리,48
연세,48
머리,48
교실,48
하이,47
타이어,47
교육,47
국밥,46
닭발,46
호프,46
소아,46
중앙,45
국수,45
농원,45
마리,44
밥상,44
꼬마,44
컴퓨터,44
복싱,44
옛날,44
플레이,43
맥주,42
뮤직,42
당구,42
행복,42
갤러리,41
컴퍼니,41
보쌈,41
대박,41
의학과,41
온누리,41
도시락,40
에프,40
스크린,40
남사,40
삼겹살,39
데이,39
버거,39
과일,39
클래스,39
코인,39
심리상담,39
통신,39
키친,38
닭갈비,38
추어탕,38
순대,38
우동,38
오토,38
명품,38
피부,38
경희대,38
조이,38
전문점,37
돈까스,37
둔전,37
정형외과,37
라인,37
마음,37
김치찌개,36
건재,36
참치,36
바디,36
생각,35
아이스,35
미래,35
피자스쿨,35
세차장,35
푸른,35
구성,35
베이커리,35
사무소,35
수선,35
오리,34
북점,34
비어,34
스쿨,34
프라임,34
안경원,34
성복,34
양지,34
하나,34
잉글리시,34
역점,33
냉면,33
힐링,33
스타일,33
위드,33
만두,33
라라,33
반찬,32
해피,32
셀프,32
회관,32
한솔,32
그림,32
파워,32
이레,32
천리,31
두부,31
수산,31
캠퍼스,31
휘트니,31
비빔밥,31
이화,31
스파,31
부방,31
맛집,30
방앗간,30
떡집,30
동태,30
공구,30
엄마,30
쭈꾸미,30
수지구청,30
크리,30
송전,30
뷔페,30
관리,30
이야기,30
리딩,30
꽈배기,29
에이스,29
정육,29
세차,29
하루,29
자연,29
프로,29
테니스,29
스마일,28
마당,28
막국수,28
지사,28
학교,28
무인,27
선생,27
스카이,27
화원,27
탁구,27
과학,27
공간,27
어스,27
다육,27
디저트,26
유리,26
다방,26
국어학,26
할머니,26
다이어트,26
뜰리,26
토스트,26
코코,26
전기,25
라운지,25
청년,25
참숯,25
또봉,25
스피드,25
으뜸,25
리틀,25
본가,25
프렌즈,25
역북,25
케이크,25
마이,25
나이스,25
인생,24
풍덕천,24
열쇠,24
프레,24
도담,24
할인,24
코다리,24
시골,24
유니,24
이삭,24
상담,24
식품,24
점프,24
양평,23
가마치,23
비비큐,23
청과,23
최고,23
메이트,23
정원,23
더블유,23
고향,23
어학,23
청담,23
무용,23
누리,23
토론,23
전통,22
유림,22
김치,22
농업,22
회사법,22
블랙,22
직판,22
줄넘기,22
태후,22
로우,22
사진관,22
로스,22
리더,22
협동조합,22
주니어,22
황금,22
장수,21
전주,21
라이프,21
에버,21
수리,21
명가,21
동천,21
한솥,21
농장,21
토종,21
리안,21
호텔,21
장어,21
뮤엠,21
요양원,21
의료,21
콩나물,21
소리,21
리테일,21
아구찜,21
오케이,21
하늘,21
빨래,21
윤선생,21
월경,20
테라,20
용인역,20
처갓집,20
양념치킨,20
화이트,20
브로,20
번지,20
레드,20
소비,20
감성,20
수원,20
팩토리,20
글라스,20
마스터,20
창고,20
토리,20
왁싱,20
맑은,20
지니,20
입시,20
퍼스트,20
전자담배,20
허브,20
이안,20
일리,20
습소,20
리아,20
블루,20
운동,20
국가대표,20
사회,20
사고력,20
미래엔,20
설렁탕,20
구갈,20
카나,19
이엠,19
초밥,19
육회,19
테크,19
피트니스,19
창의,19
친구,19
황소,19
몬스터,19
미용,19
안과,19
프리,19
바이올린,19
햇살,19
발레,19
명성,19
보청기,19
응응스크르,19
가온,19
뮤즈,19
닭강정,19
플로,19
산부인과,19
세상,19
가구,19
가족,19
반점,18
축산물,18
공주,18
염소,18
애니,18
바다,18
찌개,18
부부,18
고봉,18
민속,18
리터,18
역전,18
미미,18
샤인,18
샤브,18
비지,18
포레스트,18
마취,18
통증,18
바이,18
아동,18
체육관,18
플랜,18
아이비,18
구청,18
텔레콤,18
타워,17
가마솥,17
조명,17
바베큐,17
파스타,17
횟집,17
풍경,17
청덕,17
형제,17
바이크,17
요거트,17
발레학원,17
달달,17
우리동네,17
언어,17
피아,17
합기도,17
닥터,17
포레,17
부페,17
패션,17
골드,17
푸줏간,16
일품,16
달콤,16
찜닭,16
노가리,16
플랜트,16
삼겹,16
타일,16
뚜껑,16
동네,16
