Keyword,Frequency
헤어,547
의정부,432
학원,380
교습,215
의원,192
카페,186
식당,179
커피,171
수학,142
네일,141
약국,125
상회,121
치킨,108
영어,107
연습장,106
뷰티,101
살롱,101
노래,97
음악학,96
한의원,90
태권도,90
우리,90
치과,88
아모레,85
미술,84
민락,82
아이스크림,82
포차,79
곱창,76
미용실,76
사무소,74
피자,70
스튜디오,70
통닭,68
신곡,66
고기,65
아이,64
분식,63
족발,63
필라테스,62
에스,61
스터디,60
정육점,60
갈비,59
김밥,58
피아노,55
고산,55
카운셀러,55
수학학원,55
사랑,53
제이,53
마을,52
안경,51
중앙,50
아트,50
호원,49
케어,48
플러스,48
구장,47
칼국수,46
헤어샵,45
플라워,44
드림,44
가능,44
케이,42
골프,42
인테리어,41
푸드,41
대국,41
머리,40
삼겹살,40
행복,39
스토리,39
영어학원,38
슈퍼,38
축산,38
오늘,37
음악,37
한우,37
스시,36
세탁소,36
마리,36
에이,35
모터,35
떡볶이,35
스타,35
짬뽕,34
지씨,34
옛날,33
닭발,33
스킨,32
토피아,32
호프,31
숯불,31
부대찌개,31
자동차,31
아카데미,31
송산,31
떡집,30
감자탕,30
철물,30
교실,29
꼬치,29
국밥,29
라인,28
지사,28
민락점,28
통신,28
전문점,28
요가,28
수산,28
마루,28
전기,27
바디,27
교육,26
국수,26
스포츠,26
구이,25
과일,25
야채,25
닭갈비,25
에듀,24
반찬,24
에스테,24
그린,24
블루,24
코코,23
이야기,23
돼지,23
동물병원,23
김치,23
명품,22
요양원,22
뚜껑,22
건강,22
정육,22
북부,21
돈까스,21
하나,21
공업,21
컴퓨터,21
하이,21
청과,21
브로,21
부방,21
키즈,21
변호사,20
할인,20
클래스,20
경희,20
데이,20
맥주,20
당구,20
논술,20
조명,20
미소,20
형제,20
바다,20
잉글리쉬,19
컴퍼니,19
세탁,19
프로,19
냉면,19
대박,19
바이,19
발달,19
나무,19
청년,19
미래,19
아이스,18
문구,18
플레이,18
연구소,18
자전거,18
의정,18
우동,18
방앗간,18
해피,18
레드,17
마이,17
휘트니,17
캠퍼스,17
열쇠,17
밥상,17
뮤직,17
토탈,17
패션,17
역점,17
타이어,17
고향,17
대성,16
댄스,16
오토,16
유리,16
골목,16
오점,16
할인점,16
공간,16
식품,16
비어,16
장수,16
만두,16
전주,16
오리,16
복싱,16
사진관,15
명가,15
라이,15
순대,15
쭈꾸미,15
사고력,15
스크린골프,15
베이커리,15
회룡,15
하늘,15
뚜레쥬르,15
호텔,15
프레,15
토스트,15
케이크,15
스마일,15
스피드,15
번지,15
스마트,15
푸른,15
체육관,15
모텔,15
추어탕,15
에어컨,15
우정,14
버거,14
으뜸,14
바베큐,14
로우,14
엄마,14
힐링,14
미용,14
참숯,14
내과,14
해장국,14
국어,14
독서실,14
점핑,14
피자스쿨,14
달달,14
가구,14
우리동네,14
감성,14
반점,14
참치,13
농원,13
안경원,13
가게,13
꼬마,13
하루,13
애플,13
에프,13
에이치,13
센스,13
꽈배기,13
비비큐,13
최고,13
피트니스,13
오케이,13
공감,13
온누리,13
건재,13
탁구,13
찹쌀,13
수리,13
이비인후과,13
디저트,13
피부,13
실용음악,13
염소,13
세상,13
보쌈,13
삼계탕,12
노가리,12
닭강정,12
센트럴,12
청담,12
기탄,12
인생,12
할머니,12
화장품,12
퍼스트,12
골드,12
애견,12
닥터,12
청소년,12
한복,12
파스타,12
한솔,12
라라,12
텔레콤,12
태양,12
독서,12
화로,12
동태,12
웰빙,11
신화,11
생선,11
용인대,11
타임,11
화원,11
하트,11
보호,11
설비,11
빨래,11
세차,11
정형외과,11
아르,11
의정부시,11
신도,11
메이트,11
두부,11
미미,11
메이드,11
낙원,11
자연,11
팩토리,11
생각,11
빵집,11
연세,11
마음,11
심리상담,11
서점,11
카츠,11
코인,11
매장,11
이불,11
빈티,11
박사,11
의료,11
이모,10
바이크,10
뱅크,10
이레,10
시장,10
칼라,10
나인,10
큰집,10
중고,10
황금,10
강아지,10
역전,10
복지,10
여우,10
셀프,10
의학과,10
비빔밥,10
스타일,10
엣지,10
고려,10
미장원,10
아구찜,10
이삭,10
대원,10
머리방,10
다방,10
다이어트,10
소담,10
주방,10
구점,10
왁싱,10
빈대떡,10
처갓집,10
법무사,10
수선,10
미스터,10
직판,10
조이,10
케이스,10
프렌즈,10
김밥천국,10
명동,10
킴스,10
청춘,10
로또,10
남성,10
동네,10
축산물,10
바로,10
소비,10
쌈밥,10
데코,10
곳간,9
이엠,9
키친,9
조개,9
신가,9
먹거리,9
출장,9
대패,9
보청기,9
노랑,9
막국수,9
메리,9
블랙,9
프리,9
국가대표,9
피아,9
공구,9
수입,9
스쿨,9
소리,9
농산,9
창고,9
마차,9
잉글리시,9
포토,9
양념치킨,9
신발,9
공주,9
콩나물,9
남원,9
유니,9
익스,9
정원,9
플로,9
나주,9
횡성,9
성모,9
마스터,9
도시락,9
선생,9
비학,9
클린,9
페리,9
학교,9
스카이,9
횟집,9
명성,9
협동조합,9
이화,9
매니아,8
파티,8
맘스,8
남자,8
다리,8
이프,8
주간,8
매점,8
라비,8
의정부동,8
추억,8
싱싱,8
리즈,8
리틀,8
와플,8
대학,8
나라,8
부금,8
몬스터,8
양평,8
산후조리원,8
유진,8
마당,8
시골,8
찜닭,8
웨이,8
노래방,8
리더,8
해물,8
신의주,8
장군,8
헬로,8
사우나,8
갤러리,8
장어,8
마임,8
써니,8
운동,8
공조,8
글라스,8
아동,8
최강,8
명랑,8
도리,8
전설,8
토리,8
마산,8
테라,8
남도,8
공인,8
트리,8
가정의학,8
낙지,8
이드,8
대가,8
가마솥,8
통큰,8
정성,8
과학,8
그림,8
카나,8
크리,8
요리,8
샤인,8
과외,8
요거트,8
습소,8
호식,8
두리,8
대명,8
무용,8
초이스,8
거성,8
정비,8
주짓수,8
짜장,8
포유,8
뮤엠,7
모바일,7
스파,7
닭집,7
마포,7
레이,7
보리밥,7
브이,7
은혜,7
김밥나라,7
가람,7
염색,7
포레,7
신명,7
코다리,7
우성,7
성원,7
대일,7
무인,7
덴트,7
인성,7
워시,7
차이,7
속눈썹,7
양품,7
사람,7
오드리,7
가위,7
화비,7
일품,7
네이처,7
오븐,7
바베큐치킨,7
심리,7
인쇄,7
