Keyword,Frequency
헤어,222
이천,218
학원,208
카페,131
식당,116
교습,116
의원,112
약국,98
치킨,78
커피,70
네일,68
연습장,68
영어,67
노래,66
수학,60
아모레,58
뷰티,57
자동차,54
카운셀러,52
헤어샵,52
한의원,52
공업,51
상회,48
우리,48
농원,47
태권도,46
치과,46
미술,46
철물,46
피자,45
미용실,45
칼국수,44
제이,43
족발,42
음악학,42
갈비,41
송정,40
고기,39
피아노,39
도예,38
해장국,37
숯불,36
돼지,36
통닭,36
에스,35
포차,34
대국,34
장호원,33
스튜디오,33
정육점,32
플라워,32
필라테스,32
골프,31
보습,29
중앙,28
그린,28
분식,27
감자탕,27
영어학원,27
타이어,27
곱창,27
아트,27
케이,27
가구,27
세탁소,26
건강,26
하이닉스,26
플러스,25
마을,24
살롱,24
방앗간,24
마장,24
안경,24
김밥,24
사랑,24
모터,24
푸드,23
짬뽕,23
드림,23
사무소,22
구이,22
아미,21
농장,21
수학학원,21
스토리,21
전기,21
슈퍼,21
옛날,21
냉면,21
식품,21
하이,21
신하,21
어린이집,21
마루,20
아카데미,20
에이치,20
부발,20
양평,20
아이,20
과일,20
오늘,19
설봉,19
스터디,19
밥상,19
갤러리,19
건재,19
구장,19
인테리어,18
장호,18
원점,18
만두,18
염소,18
닭갈비,18
반점,18
에이,17
부페,17
아이스크림,17
축산,17
컴퓨터,17
꼬치,17
반찬,17
한식,17
스크린골프,17
셀프,16
농업,16
막국수,16
전문점,16
요가,16
엄마,16
국밥,16
프레,16
닭발,16
미소,16
체육관,16
행복,16
에프,15
한솔,15
호프,15
국수,15
삼겹살,15
스타,15
떡볶이,15
지산,15
한우,14
이야기,14
회사법,14
도담,14
막창,14
문구,14
아리,14
세차장,14
음악,14
케어,14
명품,14
연구소,14
떡집,13
하루,13
하늘,13
설비,13
밥집,13
머리,13
데이,13
카나,13
정육,13
바다,13
에스테,13
미용,13
토피아,13
내과,13
심리상담,13
횟집,13
마리,13
호텔,13
찌개,12
모텔,12
빨래,12
쭈꾸미,12
참치,12
하나,12
부대찌개,12
꽈배기,12
형제,12
통신,12
오리,12
동물병원,12
덕평,12
프로,12
키즈,12
추어탕,12
스킨,12
미래,12
나무,11
전통,11
푸른,11
대성,11
수산,11
토탈,11
베이,11
조명,11
논술,11
우드,11
교육,11
대박,11
페리,11
맛집,10
돈까스,10
크리,10
본가,10
명성,10
민물장어,10
에듀,10
비지,10
세상,10
패션,10
시골,10
에어컨,10
의료,10
당구,10
세탁,10
정원,10
라인,10
피부,10
온누리,10
여관,10
스포츠,9
워시,9
스카이,9
이모,9
공간,9
과외,9
축산물,9
해물,9
스크린,9
스키,9
리테일,9
국제,9
복싱,9
보쌈,9
코다리,9
뮤직,9
열쇠,9
초밥,9
다육,9
이불,9
최고,9
싱싱,9
위드,9
버거,9
해피,9
보청기,9
개인,9
대월,9
도자기,9
독서실,9
가마치,9
해법,9
동태,9
그릇,9
화장품,9
트리,9
장터,9
화원,9
야채,8
미가,8
부부,8
공구,8
소담,8
이천시,8
처갓집,8
그림,8
인생,8
농약,8
브로,8
케이크,8
보리밥,8
세라믹,8
원조,8
뮤엠,8
클래스,8
으뜸,8
정미소,8
미니,8
육개장,8
미래엔,8
파스타,8
자재,8
장어,8
맥주,8
중개사,8
할인,8
유니,8
회관,8
메이,8
중리,8
금강,8
일리,8
포유,8
글라스,8
기계,8
친구,8
참숯,8
왁싱,8
찹쌀,8
화로,8
피자스쿨,8
낙지,8
오름,8
황금,8
하나로,8
이엠,8
주짓수,8
탁구,8
진미,8
청년,8
판매,7
화이트,7
우성,7
지사,7
프렌즈,7
주막,7
호법,7
명동,7
잉글리쉬,7
고담,7
청담,7
가게,7
가마솥,7
사진관,7
장점,7
신원,7
일품,7
뚜레쥬르,7
베이커리,7
이화,7
스마일,7
토종,7
정비,7
터미널,7
대흥,7
대패,7
또래,7
뉴욕,7
국어,7
풍경,7
리틀,7
골드,7
마당,7
세계,7
