Keyword,Frequency
파주,472
학원,461
헤어,447
운정,315
카페,300
교습,231
커피,218
수학,179
금촌,161
식당,155
네일,152
문산,151
치킨,145
의원,142
미술,136
영어,121
뷰티,120
노래,114
연습장,114
약국,111
마을,99
우리,95
태권도,93
음악학,90
교하,89
아모레,89
미용실,85
제이,85
한의원,85
아트,84
수학학원,84
피자,83
스튜디오,82
족발,74
영어학원,73
치과,73
자동차,72
피아노,71
아이,71
스터디,71
카운셀러,71
포차,70
갈비,69
살롱,69
통닭,68
야당,66
필라테스,65
에스,65
칼국수,64
김밥,64
상회,63
교실,63
플러스,59
푸드,57
해장국,57
정점,56
모터,55
공업,54
골프,54
곱창,53
돼지,52
숯불,51
지씨,50
한식,49
아이스크림,49
고기,49
감자탕,48
떡볶이,47
대국,47
스토리,46
부방,45
국밥,45
사랑,45
분식,45
옛날,45
마루,43
부대찌개,43
에스테,43
오늘,42
산내,42
그린,42
안경,42
마리,42
아카데미,41
가람,40
국수,40
에듀,40
타이어,40
헤어샵,39
한빛,39
갤러리,39
구이,39
밥상,39
하이,39
잉글리쉬,38
철물,38
축산,37
한우,37
드림,37
케어,37
돈까스,36
구장,36
미소,35
닭갈비,35
논술,35
사고력,35
가구,35
교육,34
중앙,33
삼겹살,33
슈퍼,33
건강,33
인테리어,33
음악,32
스킨,32
케이,32
세탁소,32
에이치,31
전기,31
에이,31
뷔페,30
스타,30
꽈배기,30
나무,30
보쌈,30
쭈꾸미,30
농원,30
푸른,29
만두,29
꼬치,29
공구,29
적성,29
전문점,29
명품,28
짬뽕,28
오름,28
정원,28
과외,28
기탄,28
사무소,28
피부,27
두부,27
세탁,27
토피아,27
동물병원,27
연구소,27
건재,27
할인,27
데이,26
컴퍼니,26
대성,26
팩토리,26
문구,26
스마트,26
정육점,26
단지,26
모텔,26
컴퓨터,26
냉면,25
오리,25
농장,25
양평,25
베이커리,25
힐링,24
요가,24
떡집,24
명가,24
키즈,24
플라워,24
통일,24
뚜껑,24
바디,24
곰탕,24
방앗간,24
대박,24
과일,23
이야기,23
엄마,23
가마솥,23
트리,23
맥주,23
설비,23
회사법,23
법원,23
인생,22
주점,22
코인,22
소리,22
바이,22
찹쌀,22
개인,22
농업,22
에프,21
라인,21
행복,21
연세,21
닭발,21
참치,21
용인대,21
호프,21
심리상담,21
경희,21
매운탕,21
세차장,20
독서,20
미래,20
뮤엠,20
플레이,20
당구,20
부페,20
반점,20
오토,20
맛집,20
형제,20
공간,20
테크,20
스포츠,20
발달,20
김치찌개,19
블루,19
추어탕,19
도시락,19
사진관,19
잉글리시,19
황금,19
으뜸,19
하나,19
시골,19
찜닭,19
장어,19
조명,19
다리,18
샤브,18
머리,18
에이스,18
박스,18
회관,18
토스트,18
애견,18
실용음악,18
반찬,17
수선,17
에어컨,17
장단콩,17
바다,17
밥집,17
국어,17
자연,17
소비,17
스쿨,17
세상,17
점핑,17
역점,17
금릉,17
일산,17
학산,17
일품,17
가게,17
향기,17
하늘,17
패션,16
스마일,16
대장,16
협동조합,16
유리,16
프리,16
프렌즈,16
스크린,16
스크린골프,16
크리,16
학교,16
멀티,16
장군,16
순대,16
빨래,16
셀프,16
웰빙,15
케이크,15
명동,15
브로,15
지사,15
코코,15
찌개,15
야채,15
위드,15
얼음,15
누리,15
할머니,15
테니스,15
비어,15
경희대,15
해법,15
생선,15
휘트니,15
열쇠,15
프로,15
캠퍼스,15
수산,15
이드,14
김치,14
커튼,14
이삭,14
초롱꽃,14
스시,14
자재,14
청년,14
