Keyword,Frequency
평택,869
헤어,649
학원,486
카페,294
커피,284
식당,214
의원,205
고덕,201
교습,197
송탄,190
약국,177
안중,167
치킨,164
네일,155
수학,149
음악학,136
김밥,134
영어,124
태권도,122
뷰티,120
피자,119
상회,116
미술,115
갈비,115
아이,112
미용실,105
한의원,92
우리,91
족발,90
푸드,89
필라테스,86
살롱,85
통닭,82
포차,81
치과,79
사랑,77
연습장,77
칼국수,77
자동차,76
고기,74
포승,72
숯불,71
마을,69
헤어샵,68
노래,66
아트,65
골프,64
곱창,64
수산,62
스튜디오,62
국밥,61
꼬치,61
아이스크림,60
제이,60
피아노,59
부대찌개,59
분식,58
옛날,58
모터,57
플라워,57
에스,57
중앙,56
축산,56
스터디,54
케어,54
대국,54
세탁소,53
안경,52
수학학원,51
오늘,50
드림,50
한식,49
구이,48
전문점,48
떡볶이,48
한우,47
슈퍼,47
청북,47
지씨,47
교실,47
철물,46
닭발,46
삼겹살,45
플러스,45
돼지,45
짬뽕,45
꼬마,44
타이어,43
해장국,43
스토리,42
케이,42
감자탕,42
아카데미,42
그린,41
정육점,41
토피아,40
맥주,40
당구,40
컴퓨터,39
스타,39
건강,38
세탁,38
용인대,38
논술,38
영어학원,38
에스테,38
반찬,38
밥상,38
용이,38
에이치,37
호프,37
다리,36
식품,36
공업,36
에이,36
에듀,35
이충,35
발달,35
데이,35
방앗간,34
음악,34
잉글리시,34
구장,33
돈까스,33
대박,33
푸른,33
명품,33
잉글리쉬,33
머리,33
요가,32
부방,32
할인,31
인테리어,31
바다,31
뷔페,31
문구,30
동물병원,30
마루,30
독서,30
지산,30
마리,29
장터,29
엄마,29
북점,29
팽성,29
아모레,28
쭈꾸미,28
어린이집,28
닭갈비,28
정점,28
교육,28
에프,28
장수,28
스포츠,28
비어,28
스킨,28
스시,28
참치,28
송담,27
추어탕,27
과일,27
김치찌개,27
정육,27
센트럴,27
사무소,26
하늘,26
서정,26
시장,26
스크린골프,26
보쌈,26
나무,26
맛집,26
하루,26
버거,26
연구소,26
벌점,26
공구,25
바베큐,25
만두,25
가구,25
키즈,25
코인,25
