Keyword,Frequency
포천,269
식당,160
헤어,128
카페,108
자동차,92
공업,76
농원,72
학원,68
아모레,64
갈비,63
커피,60
우리,60
카운셀러,58
치킨,52
미용실,49
마을,49
가구,46
해장국,41
의원,41
대국,39
상회,38
족발,37
연습장,36
노래,34
칼국수,34
네일,33
약국,32
푸드,32
가산,31
피자,31
골프,30
철물,30
돼지,29
슈퍼,29
농장,28
포차,28
타이어,28
뷰티,27
중앙,26
고기,26
그린,26
태권도,26
일동,26
치과,26
통닭,25
방앗간,25
아이,25
송우,24
가스,24
모터,24
숯불,22
스포츠,22
한의원,22
운천,22
밥상,21
곱창,20
이동,20
선단,20
농업,20
마루,19
건강,19
구이,19
쌈밥,19
옛날,19
주유소,19
공구,19
한식,19
정육점,19
사랑,18
구장,18
교습,18
닭갈비,18
김밥,18
음악학,18
대성,18
막국수,18
양평,17
제이,17
에스,17
회사법,17
명성,17
삼겹살,16
하늘,16
오리,16
한우,16
대박,16
장어,16
설비,16
안경,16
전문점,16
인테리어,16
세탁소,15
꼬치,15
펜션,15
분식,15
헤어샵,15
통신,15
짬뽕,15
나무,15
아트,14
자연,14
오늘,14
푸른,14
스크린골프,14
명품,14
다방,14
편의점,14
염소,14
피아노,14
추어탕,14
감자탕,13
플라워,13
낚시,13
시골,13
반점,13
스토리,13
컴퓨터,13
당구,13
스타,13
엄마,13
플러스,13
부대찌개,13
냉면,13
꽈배기,13
사무소,12
불고기,12
장군,12
고향,12
살롱,12
스튜디오,12
건재,12
모텔,12
카나,12
할인,12
에프,12
순두부,12
갤러리,11
영어,11
광릉,11
연구소,11
전기,11
미소,11
정육,11
비비큐,11
협동조합,11
케어,11
보쌈,11
스터디,11
장수,11
마당,11
미술,11
토피아,11
키즈,11
케이,11
백숙,11
사과,11
부페,11
두부,10
황금,10
식품,10
또래,10
정원,10
에이,10
국밥,10
국수,10
수목원,10
피부,10
돈까스,10
부방,10
능이,10
호프,10
마리,9
아카데미,9
스크린,9
조명,9
두리,9
라인,9
닭발,9
자재,9
삼계탕,9
다리,9
수학,9
향기,9
소담,9
호수,9
뷔페,9
에너지,9
청년,9
일품,9
