Keyword,Frequency
하남,486
미사,468
학원,344
헤어,261
의원,235
교습,192
카페,148
수학,132
약국,132
영어,115
커피,113
미술,91
네일,87
필라테스,87
한의원,84
치과,80
음악학,71
스튜디오,69
골프,64
식당,62
뷰티,60
감일,57
아이,56
아이스크림,55
치킨,54
에스,54
김밥,51
수학학원,51
살롱,50
스터디,50
피아노,49
제이,49
우리,48
태권도,47
영어학원,45
논술,45
강변,43
독서,40
아트,40
푸드,39
갈비,37
노래,37
연습장,37
에이,36
아카데미,36
칼국수,36
수산,36
곱창,35
미용실,33
음악,33
사랑,32
플라워,31
플러스,31
케어,31
모터,31
피자,31
대국,31
위례,30
족발,30
떡볶이,29
스토리,29
에이치,29
오늘,29
안경,28
포차,28
중앙,28
키즈,28
한우,27
과일,27
청소년,27
농원,27
통닭,27
세탁,26
잉글리쉬,26
동물병원,25
경희,25
케이,25
풍산,24
마리,24
드림,24
숯불,24
국어,24
에듀,24
이비인후과,23
토피아,23
교육,23
발달,22
해장국,22
스마트,22
요가,22
신장,22
위드,22
상회,22
역점,21
냉면,21
스타,21
내과,21
아이스,20
부대찌개,20
에스테,20
국밥,20
코인,20
마을,20
꼬마,20
심리상담,20
뮤직,20
소아,20
의학과,20
연세,20
스포츠,19
스킨,19
지씨,19
아모레,19
돼지,19
슈퍼,19
베이커리,19
사무소,18
장어,18
옛날,18
바디,18
건강,18
교실,18
컴퍼니,18
분식,18
북위,18
대표,18
맥주,18
정육점,17
연구소,17
피부,17
마음,17
라인,17
프레,17
고기,17
나무,17
잉글리시,17
축산,16
미소,16
감자탕,16
만두,16
참치,16
초밥,16
나인,16
하루,16
행복,16
하이,16
데이,15
반찬,15
하나,15
자동차,15
철물,15
꼬치,15
플레이,15
구장,15
버거,15
그린,15
스시,15
순대,14
스마일,14
리틀,14
추어탕,14
코다리,14
케이크,14
감일점,14
할인,14
에프,14
이야기,14
복싱,14
인생,14
공업,14
명품,14
닭갈비,14
쭈꾸미,14
스크린,14
스크린골프,14
회의,14
돈까스,14
헤어샵,13
사진관,13
조이,13
미사리,13
컴퓨터,13
닭발,13
코코,13
트리,13
오토,13
오리,13
생각,13
우동,13
가구,13
온누리,13
구이,13
베이,12
라운드,12
할인점,12
이엠,12
타이어,12
하남신,12
파워,12
해법,12
해피,12
보습,12
테라,12
정육,12
대성,12
청년,12
키친,12
스카이,12
삼겹살,12
아동,11
프렌즈,11
다방,11
토론,11
팩토리,11
밥상,11
점핑,11
감성,11
닭강정,11
미미,11
도시락,11
그림,11
엄마,11
정형외과,11
통증,11
윤선생,11
테니스,11
카츠,11
워시,11
마이,11
에코,11
국수,11
센트럴,11
외과의,11
최고,11
마루,11
바다,11
리드,11
이화,11
신안,10
방앗간,10
전문점,10
나이스,10
부방,10
고골,10
토리,10
수선,10
세탁소,10
머리,10
사고력,10
바이,10
문구,10
클래식,10
주자,10
댄스,10
집앞,10
영어교실,10
사회,10
누리,10
짬뽕,10
뜰리,10
장수,10
블루,10
소비,10
캠퍼스,10
대치,10
요양원,9
의료,9
화장품,9
자전거,9
토스트,9
찹쌀,9
클린,9
아빠,9
공감,9
오브,9
할머니,9
바이크,9
패션,9
프로,9
포레,9
용인대,9
익스,9
갤러리,9
라라,9
보쌈,9
산부인과,9
루나,9
으뜸,9
애니,9
국어학,9
꽈배기,9
미래,9
빨래,9
하남시,9
가스,9
마당,9
전기,9
요거트,9
정신건강,9
뮤엠,9
프라임,9
화로,9
청담,9
리아,9
