Keyword,Frequency
동탄,1154
학원,1122
헤어,856
교습,718
카페,584
수학,528
커피,473
화성,437
영어,434
미술,319
네일,273
의원,270
음악학,260
약국,225
수학학원,223
뷰티,218
식당,217
향남,207
태권도,205
치킨,198
아이,188
김밥,183
필라테스,178
아트,175
제이,172
골프,170
살롱,164
영어학원,163
한의원,161
남양,156
스터디,154
피아노,152
에스,150
치과,149
우리,148
논술,146
봉담,146
어린이집,146
스튜디오,143
병점,142
연습장,135
음악,129
피자,129
독서,124
노래,124
아이스크림,119
통닭,116
푸드,115
사랑,115
송산,110
대국,108
한식,106
갈비,105
에이,104
족발,103
호수,103
칼국수,102
교실,98
모터,97
수산,97
아카데미,95
케이,93
고기,92
드림,91
잉글리시,91
교육,90
포차,90
플러스,89
해장국,89
그린,86
지씨,85
마을,85
떡볶이,84
플라워,83
자동차,83
에듀,82
케어,81
꼬치,80
안경,80
부방,79
농원,79
맥주,77
감자탕,77
오늘,77
타이어,76
잉글리쉬,74
곱창,74
숯불,74
짬뽕,74
에이치,74
발달,71
에스테,71
부대찌개,70
헤어샵,69
점핑,69
국어,67
키즈,65
분식,64
미용실,64
세탁,64
나무,63
스토리,63
연구소,61
스포츠,61
바디,61
철물,59
발안,58
꼬마,58
상회,58
용인대,58
돼지,57
축산,57
스타,56
세탁소,56
슈퍼,55
국수,55
시니어,55
리드,55
에프,55
대박,54
구장,53
노노,53
부페,52
스킨,52
마루,51
토피아,51
뮤직,51
정육,50
한우,50
푸른,50
행복,50
과일,50
닭갈비,49
뷔페,49
공구,49
사고력,48
봉담점,48
국밥,48
스크린골프,47
바다,47
닭발,47
옛날,47
인테리어,47
만두,46
중앙,46
줄넘기,46
요가,46
구이,45
프레,45
하이,45
경희,45
밥상,45
오토,45
정육점,45
보쌈,44
스크린,44
문구,44
건강,44
케이크,44
비어,44
청소년,44
미래,43
미소,43
심리상담,43
아모레,42
컴퍼니,42
농장,42
양평,42
사진관,42
동물병원,42
경희대,42
참치,42
유리,42
마리,42
추어탕,41
소비,41
코인,41
베이커리,41
목동,41
